lang,allergen
 ar,حليب
 ca,Ametlla
 ca,api
 ca,conte sulfits
 ca,Crustacis
 ca,fruits de closca
 ca,Fruits de closca i ou
 ca,Frutos de cáscara
 ca,llet
 ca,Pot contenir llet
 ca,Pot contenir traces de llavors de sèsam.
 ca,Sèsam
 ca,soja y mostaza
 cs,Lískové oříšky
 cs,Může obsahovat ořechy.
 cs,Může obsahovat vejce ořechy
 cs,ořechy
 cs,sója
 cs,suchých skořápkových plodů
 da,Jordnötter
 da,Kan indeholde spor af jordnødder og mælk.
 da,Sulfiter
 de,... Mineralwasser
 de,5 %
 de,abgestorbene Nematoden
 de,alkohol
 de,Alkohol
 de,Anderen glutenhaltigen Getreidearten
 de,Apfel
 de,Ascorbinsäure
 de,Calcium
 de,Cashew-Kerne
 de,Cashewnuss
 de,Céleri
 de,Das Produkt kann Spuren von _Soja_ und _Schalenfrüchten_enthalten.
 de,Das Produkt kann Spuren von Gluten und Ei enthalten.
 de,Das Produkt kann Spuren von Schalenfrüchten enthalten.
 de,Das Produkt kann Spuren von Schalenfrüchten und Lupinen enthalten.
 de,das-produkt-kann-spuren-von-sesam-enthalten
 de,Dattelsteinteile
 de,Deutsches Reinheitsgebot
 de,Die auch Nüsse verwendet verwendet
 de,E235
 de,Eiprodukte
 de,entfalt-sulfite
 de,enthält eine phenylalaninquelle
 de,enthält eine Phenylalaninquelle
 de,Enthält eine Phenylalaninquelle
 de,Enthält eine Phenylalaninquelle.
 de,Enthält einen Phenylalaninquelle
 de,Enthält Guarana
 de,enthält Sulfite
 de,Enthält Sulfite
 de,enthält-eine-phenylalainquelle
 de,enthält-milchzucker-eiweiß-glutenfrei
 de,Erdnuss Soja Sesam
 de,erdnusse
 de,Erdnüsse Schalenfrüchte
 de,Eventuali tracce di latte.
 de,Fett
 de,Fruchsteine
 de,fruchtsteine
 de,Fruits à coque
 de,Für Allergene siehe fettgedruckte Zutaten. Kann Ei und Soja enthalten.
 de,geliermittel-pektin
 de,Getreide
 de,Gluten anderer Getreidesorten
 de,Gluten Eier Soja Milch Milcherzeugnisse Sellerie Sesam
 de,Gluten Hühnerei Erdnüsse Soja Mich Haselnüsse Mandeln
 de,Gluten Mandeln
 de,Gluten Milch Sojabohnen
 de,Gluten Schalenfrüchte
 de,glutenhaltigem Getreide
 de,glutenhaltigen Getreidearten
 de,glutenhaltiges Getreide
 de,Gorczyca Jaja Mleko Seler Soja Zboże
 de,Graines de sésame
 de,Gräten
 de,Hafer Weizen Sojakerne Magermilchpulver Soja
 de,haselnüsse Mandeln Erdnüsse Soja Gluten
 de,Hergestellt in einem Betrieb
 de,hinweis-fur-allergiker-kann-schalenfruchte-und-milch-enthalten-da-es-sich-bei-diesem-musli-um-ein-naturpro-dukt-handelt
 de,Kann auch Anteile von Milch enthalten
 de,Kann bei übermäßigem verzehr abführend wirken.
 de,Kann Milch Erdnüsse und Nüsse enthalten.
 de,kann obstkerne enthalten .
 de,Kann Spuren enthalten von
 de,Kann Spuren von anderen Schalenfrüchten und Milchbestandteilen enthalten.
 de,Kann Spuren von Cashewkernen enthalten
 de,Kann Spuren von Ei Soja und Schalenfrüchten enthalten.
 de,Kann spuren von Milch Milch und Schalenfrüchten enthalten
 de,Kann Spuren von Milch Soja und Sellerie enthalten.
 de,Kann Spuren von Milch und Milcherzeugnissen enthalten
 de,Kann Spuren von MILCHBESTANDTEILEN enthalten.
 de,Kann Spuren von Nüssen und Soja enthalten. Vor Wärme schützen
 de,Kann Spuren von Senf enthaten.
 de,kann Spuren von Senf Sellerie und Pistazien enthalten
 de,Kann Spuren von weiteren Schalenfrüchten und weiterem glutenhaltigen Getreide enthalten
 de,Kann vereinzelt Olivensteine oder Teile davon enthalten.
 de,kann-spuren-von-anderen-schalenfruchten-und-soja-enthalten
 de,kann-spuren-von-lupinen-enthalten-enthält-milch-ohne-gelatine-ohne-konservierungsstoffe
 de,kann-spuren-von-milch-ei-schalenfrüchten-sellerie-und-sulfit-enthalten
 de,Kaufland Warenhandel GmbH & Co. KG
 de,Kefir
 de,keine
 de,Keine
 de,keine Angaben
 de,keinee
 de,Kerne
 de,Kernteile
 de,Kirschkerne
 de,koffein
 de,Kümmel
 de,Mais
 de,Mehrfruchtsaft teilweise aus Fruchtsaftkonzentraten
 de,mikrobieller Labaustauschstoff
 de,Milch enthält Lactose
 de,Milch schalen
 de,Milch Schalenfrüchte Sesam
 de,Milch u. Milcherzeugnisse
 de,Milch und daraus gewonnene Erzeugnisse.
