code,url,creator,created_t,last_modified_t,product_name,abbreviated_product_name,generic_name,quantity,packaging,packaging_tags,packaging_text,brands,brands_tags,categories,categories_tags,origins,origins_tags,manufacturing_places,manufacturing_places_tags,labels,labels_tags,emb_codes,emb_codes_tags,cities,cities_tags,purchase_places,stores,countries,ingredients_text,allergens,allergens_tags,traces,traces_tags,serving_size,serving_quantity,no_nutriments,additives_n,additives_tags,ingredients_from_palm_oil_n,ingredients_from_palm_oil,ingredients_from_palm_oil_tags,ingredients_that_may_be_from_palm_oil_n,ingredients_that_may_be_from_palm_oil,ingredients_that_may_be_from_palm_oil_tags,nutriscore_score,nutriscore_grade,nova_group,pnns_groups_1,pnns_groups_2,states,brand_owner,ecoscore_score_fr,ecoscore_grade_fr,main_category,image_url,image_small_url,image_front_url,image_front_small_url,image_ingredients_url,image_ingredients_small_url,image_nutrition_url,image_nutrition_small_url,energy-kj_100g,energy-kcal_100g,energy_100g,energy-from-fat_100g,fat_100g,saturated-fat_100g,-butyric-acid_100g,-caproic-acid_100g,-caprylic-acid_100g,-capric-acid_100g,-lauric-acid_100g,-myristic-acid_100g,-palmitic-acid_100g,-stearic-acid_100g,-arachidic-acid_100g,-behenic-acid_100g,-lignoceric-acid_100g,-cerotic-acid_100g,-montanic-acid_100g,-melissic-acid_100g,monounsaturated-fat_100g,polyunsaturated-fat_100g,omega-3-fat_100g,-alpha-linolenic-acid_100g,-eicosapentaenoic-acid_100g,-docosahexaenoic-acid_100g,omega-6-fat_100g,-linoleic-acid_100g,-arachidonic-acid_100g,-gamma-linolenic-acid_100g,-dihomo-gamma-linolenic-acid_100g,omega-9-fat_100g,-oleic-acid_100g,-elaidic-acid_100g,-gondoic-acid_100g,-mead-acid_100g,-erucic-acid_100g,-nervonic-acid_100g,trans-fat_100g,cholesterol_100g,carbohydrates_100g,sugars_100g,-sucrose_100g,-glucose_100g,-fructose_100g,-lactose_100g,-maltose_100g,-maltodextrins_100g,starch_100g,polyols_100g,fiber_100g,-soluble-fiber_100g,-insoluble-fiber_100g,proteins_100g,casein_100g,serum-proteins_100g,nucleotides_100g,salt_100g,sodium_100g,alcohol_100g,vitamin-a_100g,beta-carotene_100g,vitamin-d_100g,vitamin-e_100g,vitamin-k_100g,vitamin-c_100g,vitamin-b1_100g,vitamin-b2_100g,vitamin-pp_100g,vitamin-b6_100g,vitamin-b9_100g,folates_100g,vitamin-b12_100g,biotin_100g,pantothenic-acid_100g,silica_100g,bicarbonate_100g,potassium_100g,chloride_100g,calcium_100g,phosphorus_100g,iron_100g,magnesium_100g,zinc_100g,copper_100g,manganese_100g,fluoride_100g,selenium_100g,chromium_100g,molybdenum_100g,iodine_100g,caffeine_100g,taurine_100g,ph_100g,fruits-vegetables-nuts_100g,fruits-vegetables-nuts-dried_100g,fruits-vegetables-nuts-estimate_100g,collagen-meat-protein-ratio_100g,cocoa_100g,chlorophyl_100g,carbon-footprint_100g,carbon-footprint-from-meat-or-fish_100g,nutrition-score-fr_100g,nutrition-score-uk_100g,glycemic-index_100g,water-hardness_100g,choline_100g,phylloquinone_100g,beta-glucan_100g,inositol_100g,carnitine_100g,search_category,search_country
93601023,https://world.openfoodfacts.org/product/93601023,foodorigins,1432720004,1627994661,Coles Thickened Cream,NA,NA,600ml,Plastic,plastic,NA,Coles,coles,"Dairies, Creams","en:dairies,en:creams",Australia,en:australia,Australia,australia,"Product of Australia, en:australian-made","en:australian-made,en:product-of-australia",NA,NA,NA,NA,"NSW,Australia","Coles,Bilo",Australia,"Pasteurised Cream, Thickeners (412, 407)",NA,en:milk,NA,NA,20ml,20,NA,2,"en:e407,en:e412",0,NA,NA,0,NA,NA,14,d,4,Milk and dairy products,Milk and yogurt,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-completed, en:packaging-code-to-be-completed, en:characteristics-completed, en:origins-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-selected, en:ingredients-photo-to-be-selected, en:front-photo-selected, en:photos-uploaded",NA,NA,NA,en:creams,https://images.openfoodfacts.org/images/products/93601023/front_en.13.400.jpg,https://images.openfoodfacts.org/images/products/93601023/front_en.13.200.jpg,https://images.openfoodfacts.org/images/products/93601023/front_en.13.400.jpg,https://images.openfoodfacts.org/images/products/93601023/front_en.13.200.jpg,NA,NA,https://images.openfoodfacts.org/images/products/93601023/nutrition_en.18.400.jpg,https://images.openfoodfacts.org/images/products/93601023/nutrition_en.18.200.jpg,1390,0.3298279,1390,NA,35.1,24.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,NA,NA,NA,0.0625,0.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,Dairies,Australia
5201168215649,https://world.openfoodfacts.org/product/5201168215649,tconst,1511980087,1618836084,Fromage Feta,NA,Feta,400 g (2*200g),"Pastic,en:pp-tub,Fresh","pastic,en-pp-tub,fresh",NA,Dodoni,dodoni,"Produits laitiers, Produits fermentés, Produits laitiers fermentés, Fromages, Fromages de Grèce, Fromages de brebis, Fetan","en:dairies,en:fermented-foods,en:fermented-milk-products,en:cheeses,en:greek-cheeses,en:sheep-s-milk-cheeses,en:feta",Greece,en:greece,Grèce,grece,AOP,en:pdo,NA,NA,NA,NA,Belgique,"Delhaize,Woolworths","Australia,Belgium,Cyprus,France","Lait de brebis et de chévre pasteurisé, ferments lactiques, présure, sel de mer",en:milk,en:milk,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,NA,NA,18,d,3,Milk and dairy products,Cheese,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-completed, en:origins-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-selected, en:ingredients-photo-selected, en:front-photo-selected, en:photos-uploaded",NA,NA,NA,en:feta,https://images.openfoodfacts.org/images/products/520/116/821/5649/front_en.16.400.jpg,https://images.openfoodfacts.org/images/products/520/116/821/5649/front_en.16.200.jpg,https://images.openfoodfacts.org/images/products/520/116/821/5649/front_en.16.400.jpg,https://images.openfoodfacts.org/images/products/520/116/821/5649/front_en.16.200.jpg,https://images.openfoodfacts.org/images/products/520/116/821/5649/ingredients_en.7.400.jpg,https://images.openfoodfacts.org/images/products/520/116/821/5649/ingredients_en.7.200.jpg,https://images.openfoodfacts.org/images/products/520/116/821/5649/nutrition_en.21.400.jpg,https://images.openfoodfacts.org/images/products/520/116/821/5649/nutrition_en.21.200.jpg,NA,257,1075,NA,21,15.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,17,NA,NA,NA,2.45,0.98,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,Dairies,Australia
9310052181123,https://world.openfoodfacts.org/product/9310052181123,clockwerx,1562506898,1610265881,Original Salted Butter,NA,NA,250g,Foil,foil,NA,Western Star,western-star,"Dairies, Spreads, Fats, Spreadable fats, Animal fats, Milkfat, Dairy spread, Butters, Salted butters","en:dairies,en:fats,en:spreads,en:spreadable-fats,en:animal-fats,en:milkfat,en:dairy-spread,en:butters,en:salted-butters",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Woolworths,Australia,"Pasteurised Cream (from _Milk_), Salt.",en:milk,en:milk,NA,NA,5g,5,NA,0,NA,0,NA,NA,0,NA,NA,19,e,2,Fat and sauces,Fats,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:origins-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-selected, en:ingredients-photo-selected, en:front-photo-selected, en:photos-uploaded",NA,NA,NA,en:salted-butters,https://images.openfoodfacts.org/images/products/931/005/218/1123/front_en.23.400.jpg,https://images.openfoodfacts.org/images/products/931/005/218/1123/front_en.23.200.jpg,https://images.openfoodfacts.org/images/products/931/005/218/1123/front_en.23.400.jpg,https://images.openfoodfacts.org/images/products/931/005/218/1123/front_en.23.200.jpg,https://images.openfoodfacts.org/images/products/931/005/218/1123/ingredients_en.7.400.jpg,https://images.openfoodfacts.org/images/products/931/005/218/1123/ingredients_en.7.200.jpg,https://images.openfoodfacts.org/images/products/931/005/218/1123/nutrition_en.25.400.jpg,https://images.openfoodfacts.org/images/products/931/005/218/1123/nutrition_en.25.200.jpg,3000,150,3000,NA,80.5,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1.6,0.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,Dairies,Australia
9344962002148,https://world.openfoodfacts.org/product/9344962002148,foodvisor,1561571728,1610244340,High protein. Vanilla  yoghurt,NA,NA,160 g,NA,NA,NA,YoPRO,yopro,"Laticínios, Alimentos Fermentados, Produtos lácteos fermentados, Iogurtes","en:dairies,en:fermented-foods,en:fermented-milk-products,en:yogurts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Woolworths,au,NA,NA,NA,NA,NA,160 g,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5,a,NA,Milk and dairy products,Milk and yogurt,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-to-be-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:origins-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-selected, en:ingredients-photo-to-be-selected, en:front-photo-selected, en:photos-uploaded",NA,NA,NA,en:yogurts,https://images.openfoodfacts.org/images/products/934/496/200/2148/front_en.3.400.jpg,https://images.openfoodfacts.org/images/products/934/496/200/2148/front_en.3.200.jpg,https://images.openfoodfacts.org/images/products/934/496/200/2148/front_en.3.400.jpg,https://images.openfoodfacts.org/images/products/934/496/200/2148/front_en.3.200.jpg,NA,NA,https://images.openfoodfacts.org/images/products/934/496/200/2148/nutrition_pt.22.400.jpg,https://images.openfoodfacts.org/images/products/934/496/200/2148/nutrition_pt.22.200.jpg,NA,57,238,NA,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.5,NA,NA,NA,0.02,0.008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5,NA,NA,NA,NA,NA,NA,NA,NA,Dairies,Australia
9342584073898,https://world.openfoodfacts.org/product/9342584073898,mgt,1610106037,1626275363,chocolate milk,NA,NA,600ml,NA,NA,NA,Oak,oak,"Beverages, Dairies, Dairy drinks, Flavoured milks, Chocolate milks","en:beverages,en:dairies,en:dairy-drinks,en:flavoured-milks,en:chocolate-milks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australia,"Coles,Woolworths","Australia,en:australia","WHOLE MILK (91%), SUGAR, COCOA (1%), MALTODEXTRIN, FLAVOURS, STABILISER (407), SALT, COLOURS (155, 133).",NA,en:milk,NA,NA,NA,NA,NA,3,"en:e133,en:e155,en:e407",0,NA,NA,0,NA,NA,3,c,4,Milk and dairy products,Milk and yogurt,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:origins-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-selected, en:ingredients-photo-selected, en:front-photo-selected, en:photos-uploaded",NA,NA,NA,en:chocolate-milks,https://images.openfoodfacts.org/images/products/934/258/407/3898/front_en.18.400.jpg,https://images.openfoodfacts.org/images/products/934/258/407/3898/front_en.18.200.jpg,https://images.openfoodfacts.org/images/products/934/258/407/3898/front_en.18.400.jpg,https://images.openfoodfacts.org/images/products/934/258/407/3898/front_en.18.200.jpg,https://images.openfoodfacts.org/images/products/934/258/407/3898/ingredients_en.7.400.jpg,https://images.openfoodfacts.org/images/products/934/258/407/3898/ingredients_en.7.200.jpg,https://images.openfoodfacts.org/images/products/934/258/407/3898/nutrition_en.20.400.jpg,https://images.openfoodfacts.org/images/products/934/258/407/3898/nutrition_en.20.200.jpg,NA,89.86616,376,NA,3.4,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,10.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,0.125,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,Dairies,Australia
9339687066902,https://world.openfoodfacts.org/product/9339687066902,leelaroo,1567801243,1609895135,Light Milk,NA,NA,NA,NA,NA,NA,Woolworths,woolworths,"Dairies, Milks","en:dairies,en:milks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en:Australia,NA,NA,NA,NA,NA,250ml,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Milk and dairy products,Milk and yogurt,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-to-be-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:origins-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-selected, en:ingredients-photo-selected, en:front-photo-selected, en:photos-uploaded",NA,NA,NA,en:milks,https://images.openfoodfacts.org/images/products/933/968/706/6902/front_en.7.400.jpg,https://images.openfoodfacts.org/images/products/933/968/706/6902/front_en.7.200.jpg,https://images.openfoodfacts.org/images/products/933/968/706/6902/front_en.7.400.jpg,https://images.openfoodfacts.org/images/products/933/968/706/6902/front_en.7.200.jpg,https://images.openfoodfacts.org/images/products/933/968/706/6902/ingredients_en.3.400.jpg,https://images.openfoodfacts.org/images/products/933/968/706/6902/ingredients_en.3.200.jpg,https://images.openfoodfacts.org/images/products/933/968/706/6902/nutrition_en.10.400.jpg,https://images.openfoodfacts.org/images/products/933/968/706/6902/nutrition_en.10.200.jpg,NA,45.2,189,NA,1.28,0.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.88,4.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,43.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dairies,Australia
4088700017333,https://world.openfoodfacts.org/product/4088700017333,kiliweb,1609833227,1609835855,Full Cream Milk,NA,NA,3 L,"plastic,bottle","plastic,bottle",NA,NA,NA,"Dairies, Milks","en:dairies,en:milks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aldi,Australia,Homogenited and Pasteuised full Cream Mik (100%),en:milk,en:milk,NA,NA,250 ml,250,NA,0,NA,0,NA,NA,0,NA,NA,1,b,NA,Milk and dairy products,Milk and yogurt,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:origins-to-be-completed, en:categories-completed, en:brands-to-be-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-validated, en:packaging-photo-selected, en:nutrition-photo-selected, en:ingredients-photo-selected, en:front-photo-selected, en:photos-uploaded",NA,NA,NA,en:milks,https://images.openfoodfacts.org/images/products/408/870/001/7333/front_en.3.400.jpg,https://images.openfoodfacts.org/images/products/408/870/001/7333/front_en.3.200.jpg,https://images.openfoodfacts.org/images/products/408/870/001/7333/front_en.3.400.jpg,https://images.openfoodfacts.org/images/products/408/870/001/7333/front_en.3.200.jpg,https://images.openfoodfacts.org/images/products/408/870/001/7333/ingredients_en.8.400.jpg,https://images.openfoodfacts.org/images/products/408/870/001/7333/ingredients_en.8.200.jpg,https://images.openfoodfacts.org/images/products/408/870/001/7333/nutrition_en.5.400.jpg,https://images.openfoodfacts.org/images/products/408/870/001/7333/nutrition_en.5.200.jpg,NA,65.7744,275,NA,3.6,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.32,NA,NA,NA,0.095,0.038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,Dairies,Australia
9300633906627,https://world.openfoodfacts.org/product/9300633906627,swipe-studio,1609830571,1627735353,Colby Slices,NA,NA,500g,"en:pp-tub,en:ldpe-packet,plastic","en-pp-tub,en-ldpe-packet,plastic",NA,Woolworths,woolworths,"Dairies, Fermented foods, Fermented milk products, Cheeses, Colby cheese","en:dairies,en:fermented-foods,en:fermented-milk-products,en:cheeses,en:colby-cheese",Australia,en:australia,Australia,australia,Vegetarian,en:vegetarian,NA,NA,NA,NA,Australia,Woolworths,en:Australia,"Pasteurised Milk, Salt, Starter Culture, Non Animal Rennet. ALLERGEN ADVICE Contains: Milk.",NA,en:milk,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,NA,NA,17,d,3,Milk and dairy products,Cheese,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-completed, en:origins-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-selected, en:ingredients-photo-selected, en:front-photo-selected, en:photos-uploaded",NA,NA,NA,en:colby-cheese,https://images.openfoodfacts.org/images/products/930/063/390/6627/front_en.17.400.jpg,https://images.openfoodfacts.org/images/products/930/063/390/6627/front_en.17.200.jpg,https://images.openfoodfacts.org/images/products/930/063/390/6627/front_en.17.400.jpg,https://images.openfoodfacts.org/images/products/930/063/390/6627/front_en.17.200.jpg,https://images.openfoodfacts.org/images/products/930/063/390/6627/ingredients_en.10.400.jpg,https://images.openfoodfacts.org/images/products/930/063/390/6627/ingredients_en.10.200.jpg,https://images.openfoodfacts.org/images/products/930/063/390/6627/nutrition_en.19.400.jpg,https://images.openfoodfacts.org/images/products/930/063/390/6627/nutrition_en.19.200.jpg,NA,380.95238095238,1594,NA,31.428571428571,21.904761904762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.7619047619048,4.7619047619048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.809523809524,NA,NA,NA,1.6309523809524,0.65238095238096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,Dairies,Australia
9310036040385,https://world.openfoodfacts.org/product/9310036040385,openfoodfacts-contributors,1554593142,1618534156,Milk,NA,NA,2 L,"en:hdpe-bottle, en:hdpe-lid","en-hdpe-bottle,en-hdpe-lid",NA,Mooloo Mountain,mooloo-mountain,"Dairies, Milks","en:dairies,en:milks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australia,IGA,Australia,Cows milk,NA,en:milk,NA,NA,250 ml,250,NA,0,NA,0,NA,NA,0,NA,NA,2,b,1,Milk and dairy products,Milk and yogurt,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:origins-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-selected, en:ingredients-photo-to-be-selected, en:front-photo-selected, en:photos-uploaded",NA,NA,NA,en:milks,https://images.openfoodfacts.org/images/products/931/003/604/0385/front_en.11.400.jpg,https://images.openfoodfacts.org/images/products/931/003/604/0385/front_en.11.200.jpg,https://images.openfoodfacts.org/images/products/931/003/604/0385/front_en.11.400.jpg,https://images.openfoodfacts.org/images/products/931/003/604/0385/front_en.11.200.jpg,NA,NA,https://images.openfoodfacts.org/images/products/931/003/604/0385/nutrition_en.13.400.jpg,https://images.openfoodfacts.org/images/products/931/003/604/0385/nutrition_en.13.200.jpg,264,63.097516,264,NA,3.4,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.92,4.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,NA,NA,NA,0.103,0.0412,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,Dairies,Australia
9300665023217,https://world.openfoodfacts.org/product/9300665023217,kiliweb,1530759483,1609744245,Shredded Parmesan Cheese,NA,NA,NA,NA,NA,NA,NA,NA,"Dairies, Fermented foods, Fermented milk products, Cheeses, Italian cheeses, Grated cheese","en:dairies,en:fermented-foods,en:fermented-milk-products,en:cheeses,en:italian-cheeses,en:grated-cheese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Woolworths,"France, en:australia","þarmesan grated cheese ngredients: cheese [milk, salt, cultures enzyme], anticaking agent (460). at od relow a°c",NA,en:milk,NA,NA,NA,NA,NA,1,en:e460,0,NA,NA,0,NA,NA,13,d,4,Milk and dairy products,Cheese,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:origins-to-be-completed, en:categories-completed, en:brands-to-be-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-to-be-selected, en:ingredients-photo-to-be-selected, en:front-photo-selected, en:photos-uploaded",NA,NA,NA,en:grated-cheese,https://images.openfoodfacts.org/images/products/930/066/502/3217/front_en.14.400.jpg,https://images.openfoodfacts.org/images/products/930/066/502/3217/front_en.14.200.jpg,https://images.openfoodfacts.org/images/products/930/066/502/3217/front_en.14.400.jpg,https://images.openfoodfacts.org/images/products/930/066/502/3217/front_en.14.200.jpg,NA,NA,NA,NA,NA,378,1582,NA,32.6,16.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.6,NA,NA,NA,1,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,Dairies,Australia
