code,url,creator,created_t,last_modified_t,product_name,abbreviated_product_name,generic_name,quantity,packaging,packaging_tags,packaging_text,brands,brands_tags,categories,categories_tags,origins,origins_tags,manufacturing_places,manufacturing_places_tags,labels,labels_tags,emb_codes,emb_codes_tags,cities,cities_tags,purchase_places,stores,countries,ingredients_text,allergens,allergens_tags,traces,traces_tags,serving_size,serving_quantity,no_nutriments,additives_n,additives_tags,ingredients_from_palm_oil_n,ingredients_from_palm_oil,ingredients_from_palm_oil_tags,ingredients_that_may_be_from_palm_oil_n,ingredients_that_may_be_from_palm_oil,ingredients_that_may_be_from_palm_oil_tags,nutriscore_score,nutriscore_grade,nova_group,pnns_groups_1,pnns_groups_2,states,brand_owner,ecoscore_score_fr,ecoscore_grade_fr,main_category,image_url,image_small_url,image_front_url,image_front_small_url,image_ingredients_url,image_ingredients_small_url,image_nutrition_url,image_nutrition_small_url,energy-kj_100g,energy-kcal_100g,energy_100g,energy-from-fat_100g,fat_100g,saturated-fat_100g,-butyric-acid_100g,-caproic-acid_100g,-caprylic-acid_100g,-capric-acid_100g,-lauric-acid_100g,-myristic-acid_100g,-palmitic-acid_100g,-stearic-acid_100g,-arachidic-acid_100g,-behenic-acid_100g,-lignoceric-acid_100g,-cerotic-acid_100g,-montanic-acid_100g,-melissic-acid_100g,monounsaturated-fat_100g,polyunsaturated-fat_100g,omega-3-fat_100g,-alpha-linolenic-acid_100g,-eicosapentaenoic-acid_100g,-docosahexaenoic-acid_100g,omega-6-fat_100g,-linoleic-acid_100g,-arachidonic-acid_100g,-gamma-linolenic-acid_100g,-dihomo-gamma-linolenic-acid_100g,omega-9-fat_100g,-oleic-acid_100g,-elaidic-acid_100g,-gondoic-acid_100g,-mead-acid_100g,-erucic-acid_100g,-nervonic-acid_100g,trans-fat_100g,cholesterol_100g,carbohydrates_100g,sugars_100g,-sucrose_100g,-glucose_100g,-fructose_100g,-lactose_100g,-maltose_100g,-maltodextrins_100g,starch_100g,polyols_100g,fiber_100g,-soluble-fiber_100g,-insoluble-fiber_100g,proteins_100g,casein_100g,serum-proteins_100g,nucleotides_100g,salt_100g,sodium_100g,alcohol_100g,vitamin-a_100g,beta-carotene_100g,vitamin-d_100g,vitamin-e_100g,vitamin-k_100g,vitamin-c_100g,vitamin-b1_100g,vitamin-b2_100g,vitamin-pp_100g,vitamin-b6_100g,vitamin-b9_100g,folates_100g,vitamin-b12_100g,biotin_100g,pantothenic-acid_100g,silica_100g,bicarbonate_100g,potassium_100g,chloride_100g,calcium_100g,phosphorus_100g,iron_100g,magnesium_100g,zinc_100g,copper_100g,manganese_100g,fluoride_100g,selenium_100g,chromium_100g,molybdenum_100g,iodine_100g,caffeine_100g,taurine_100g,ph_100g,fruits-vegetables-nuts_100g,fruits-vegetables-nuts-dried_100g,fruits-vegetables-nuts-estimate_100g,collagen-meat-protein-ratio_100g,cocoa_100g,chlorophyl_100g,carbon-footprint_100g,carbon-footprint-from-meat-or-fish_100g,nutrition-score-fr_100g,nutrition-score-uk_100g,glycemic-index_100g,water-hardness_100g,choline_100g,phylloquinone_100g,beta-glucan_100g,inositol_100g,carnitine_100g,search_category,search_country
8715035150300,https://world.openfoodfacts.org/product/8715035150300,javichu,1353438574,1624377573,Sauce Soja Sans Gluten Tamari,NA,Naturally brewed tamari gluten-free soy sauce,250 ml,"Glas,Flasche, en:glass-bottle","glas,flasche,en-glass-bottle",NA,Kikkoman,kikkoman,"Groceries, Condiments, Sauces, Soy sauces","en:groceries,en:condiments,en:sauces,en:soy-sauces",NA,NA,NA,NA,"Vegetarian, No gluten, Vegan, Green Dot","en:vegetarian,en:no-gluten,en:vegan,en:green-dot",NA,NA,NA,NA,"España,Deutschland,United Kingdom","Alcampo,Irma.dk,sky,Carrefour,Caprabo,El Corte Inglés,Hipercor,Eroski,Asda,Tesco,Sainsbury's,Waitrose,Morrisons","Dänemark,Frankreich,Deutschland,Niederlande,Spanien,Schweiz,Vereinigtes Königreich","water,  soybeans , salt, spirit vinegar,",en:soybeans,en:soybeans,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,NA,NA,5,c,3,Fat and sauces,Dressings and sauces,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:origins-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-selected, en:ingredients-photo-selected, en:front-photo-selected, en:photos-uploaded",NA,NA,NA,en:soy-sauces,https://images.openfoodfacts.org/images/products/871/503/515/0300/front_en.94.400.jpg,https://images.openfoodfacts.org/images/products/871/503/515/0300/front_en.94.200.jpg,https://images.openfoodfacts.org/images/products/871/503/515/0300/front_en.94.400.jpg,https://images.openfoodfacts.org/images/products/871/503/515/0300/front_en.94.200.jpg,https://images.openfoodfacts.org/images/products/871/503/515/0300/ingredients_en.78.400.jpg,https://images.openfoodfacts.org/images/products/871/503/515/0300/ingredients_en.78.200.jpg,https://images.openfoodfacts.org/images/products/871/503/515/0300/nutrition_en.96.400.jpg,https://images.openfoodfacts.org/images/products/871/503/515/0300/nutrition_en.96.200.jpg,240,57,240,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,16.4,6.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,Condiments,Denmark
0200030008445,https://world.openfoodfacts.org/product/0200030008445,karbonado,1610522347,1610530860,Cynamon,NA,NA,60 g,Plastik,plastik,NA,Flying Tiger Copenhagen,flying-tiger-copenhagen,"en:Groceries, Przyprawy","en:groceries,en:condiments",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Flying Tiger Copenhagen,"Polska,Rumunia,Czechy,Norwegia,Dania,Litwa,Łotwa,Estonia,Szwecja,Finlandia,Słowacja",Cynamon kasja.,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,unknown,unknown,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:origins-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:ingredients-photo-selected, en:front-photo-selected, en:photos-uploaded",NA,NA,NA,en:condiments,https://images.openfoodfacts.org/images/products/020/003/000/8445/front_pl.4.400.jpg,https://images.openfoodfacts.org/images/products/020/003/000/8445/front_pl.4.200.jpg,https://images.openfoodfacts.org/images/products/020/003/000/8445/front_pl.4.400.jpg,https://images.openfoodfacts.org/images/products/020/003/000/8445/front_pl.4.200.jpg,https://images.openfoodfacts.org/images/products/020/003/000/8445/ingredients_pl.9.400.jpg,https://images.openfoodfacts.org/images/products/020/003/000/8445/ingredients_pl.9.200.jpg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Condiments,Denmark
8715035110106,https://world.openfoodfacts.org/product/8715035110106,elia,1351427339,1632764558,Soy sauce,NA,Naturally brewed soy sauce,150 ml,"bouteille verre,plastique,plast,en:glass-bottle,en:unknown-lid","bouteille-verre,plastique,plast,en-glass-bottle,en-unknown-lid","Bottle to glas, Cap opaque PP to plastic, plastic film Other to discard",Kikkoman,kikkoman,"Groceries,Condiments,Sauces,Soy sauces,fr:Sauces au soja salées","en:groceries,en:condiments,en:sauces,en:soy-sauces,fr:sauces-au-soja-salees",NA,NA,Nizozemska,nizozemska,"Contient du soja,Union Végétarienne Européenne,Union Végétarienne Européenne - Vegan,Végétalien,Végétarien","en:contient-du-soja,en:union-vegetarienne-europeenne,en:union-vegetarienne-europeenne-vegan,en:vegetalien,en:vegetarien",NA,NA,NA,NA,"United Kingdom,Paris,hrvatska","Asda,Irma.dk,Magasins U,Sainsbury's","Croatia,Denmark,France,Germany,Italy,Mexico,Netherlands,Norway,Spain,Switzerland,United Kingdom","water,  soybeans ,  wheat , salt,","en:gluten,en:soybeans,fr:Alcool,hr:Pšenica,hr:Sojino zrno","en:gluten,en:soybeans,fr:alcool,hr:pšenica,hr:sojino-zrno",NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,NA,NA,5,c,3,Fat and sauces,Dressings and sauces,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:origins-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-selected, en:ingredients-photo-selected, en:front-photo-selected, en:photos-uploaded",NA,NA,NA,fr:sauces-au-soja-salees,https://images.openfoodfacts.org/images/products/871/503/511/0106/front_en.172.400.jpg,https://images.openfoodfacts.org/images/products/871/503/511/0106/front_en.172.200.jpg,https://images.openfoodfacts.org/images/products/871/503/511/0106/front_en.172.400.jpg,https://images.openfoodfacts.org/images/products/871/503/511/0106/front_en.172.200.jpg,https://images.openfoodfacts.org/images/products/871/503/511/0106/ingredients_en.163.400.jpg,https://images.openfoodfacts.org/images/products/871/503/511/0106/ingredients_en.163.200.jpg,https://images.openfoodfacts.org/images/products/871/503/511/0106/nutrition_en.143.400.jpg,https://images.openfoodfacts.org/images/products/871/503/511/0106/nutrition_en.143.200.jpg,325,77,325,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,16.9,6.76,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,Condiments,Denmark
5711044409548,https://world.openfoodfacts.org/product/5711044409548,sebleouf,1506094738,1605110051,NA,NA,NA,NA,Plast,plast,NA,salatmesteren,salatmesteren,"Dagligvarer, Krydderier, Saucer, en:Seasonings","en:groceries,en:condiments,en:sauces,en:seasonings",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dinamarca,España",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fat and sauces,Dressings and sauces,"en:to-be-completed, en:nutrition-facts-to-be-completed, en:ingredients-to-be-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-to-be-completed, en:product-name-to-be-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-to-be-selected, en:ingredients-photo-to-be-selected, en:front-photo-selected, en:photos-uploaded",NA,NA,NA,en:seasonings,https://images.openfoodfacts.org/images/products/571/104/440/9548/front_da.4.400.jpg,https://images.openfoodfacts.org/images/products/571/104/440/9548/front_da.4.200.jpg,https://images.openfoodfacts.org/images/products/571/104/440/9548/front_da.4.400.jpg,https://images.openfoodfacts.org/images/products/571/104/440/9548/front_da.4.200.jpg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Condiments,Denmark
3700389705141,https://world.openfoodfacts.org/product/3700389705141,kiliweb,1539886064,1602419734,A'rom Moulin Festif,NA,Moulin long au Sel mélange Festif,240 g,"MOULIN,VERRE,BOUTEILLE","moulin,verre,bouteille",NA,A'ROM,a-rom,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Epicerie, Condiments, Epices, Poivres, Sels","en:plant-based-foods-and-beverages,en:plant-based-foods,en:groceries,en:condiments,en:spices,en:peppers,en:salts","BRESIL,FRANCE,VIETNAM,JAMAÏQUE,INDE,CHINE,POLOGNE","en:france,en:brazil,en:china,en:india,en:jamaica,en:poland,en:vietnam",FRANCE,france,NA,NA,EMB13119B,emb-13119b,NA,carnoux-en-provence-bouches-du-rhone-france,FRANCE,"DU BRUIT DANS LA CUISINE,PINE APPLE,OTHERWINE,CABESTO,TJX","Danemark,France,Pays-Bas,Pologne,Royaume-Uni","Sel gros de mer (83%), antiagglomérant (E535), mélange 5 baies (17%) (poivre noir, poivre blanc, piment de Jamaïque, baies roses, poivre vert déshydraté),  ail semoule, échalote semoule, thym.",fr:NON RENSEIGNE,fr:non-renseigne,en:none,en:none,NA,NA,NA,1,en:e535,0,NA,NA,0,NA,NA,NA,NA,2,unknown,unknown,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-completed, en:packaging-code-completed, en:characteristics-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-not-selected, en:nutrition-photo-not-selected, en:ingredients-photo-selected, en:front-photo-selected, en:photos-uploaded",NA,NA,NA,en:salts,https://images.openfoodfacts.org/images/products/370/038/970/5141/front_fr.13.400.jpg,https://images.openfoodfacts.org/images/products/370/038/970/5141/front_fr.13.200.jpg,https://images.openfoodfacts.org/images/products/370/038/970/5141/front_fr.13.400.jpg,https://images.openfoodfacts.org/images/products/370/038/970/5141/front_fr.13.200.jpg,https://images.openfoodfacts.org/images/products/370/038/970/5141/ingredients_fr.10.400.jpg,https://images.openfoodfacts.org/images/products/370/038/970/5141/ingredients_fr.10.200.jpg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Condiments,Denmark
87158601,https://world.openfoodfacts.org/product/87158601,openfoodfacts-contributors,1592592056,1594221813,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dagligvarer, Krydderier, en:Salts, en:Table salts","en:groceries,en:condiments,en:salts,en:table-salts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Denmark,"salt (NaCI), jod (KI 1,3mg l/100g), antiklumpningsmiddel (E535).",NA,NA,NA,NA,NA,NA,NA,1,en:e535,0,NA,NA,0,NA,NA,NA,NA,2,unknown,unknown,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-completed, en:brands-to-be-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-to-be-completed, en:photos-to-be-validated, en:photos-uploaded",NA,NA,NA,en:table-salts,NA,NA,NA,NA,https://images.openfoodfacts.org/images/products/87158601/ingredients_en.4.400.jpg,https://images.openfoodfacts.org/images/products/87158601/ingredients_en.4.200.jpg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Condiments,Denmark
5712872281863,https://world.openfoodfacts.org/product/5712872281863,openfoodfacts-contributors,1592592263,1592913901,basilikum,NA,NA,30g,plastic,plastic,NA,aruna,aruna,"Plantebaserede fødevarer og drikkevarer, Plantebaserede fødevarer, Dagligvarer, Krydderier, en:Culinary plants, en:Aromatic plants, en:Aromatic herbs, en:Basil","en:plant-based-foods-and-beverages,en:plant-based-foods,en:groceries,en:condiments,en:culinary-plants,en:aromatic-plants,en:aromatic-herbs,en:basil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Denmark,NA,en:Denmark,Basilikum.,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,1,unknown,unknown,"en:to-be-checked, en:complete, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-validated, en:photos-uploaded",NA,NA,NA,en:basil,https://images.openfoodfacts.org/images/products/571/287/228/1863/front_da.18.400.jpg,https://images.openfoodfacts.org/images/products/571/287/228/1863/front_da.18.200.jpg,https://images.openfoodfacts.org/images/products/571/287/228/1863/front_da.18.400.jpg,https://images.openfoodfacts.org/images/products/571/287/228/1863/front_da.18.200.jpg,https://images.openfoodfacts.org/images/products/571/287/228/1863/ingredients_da.20.400.jpg,https://images.openfoodfacts.org/images/products/571/287/228/1863/ingredients_da.20.200.jpg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Condiments,Denmark
3700389715225,https://world.openfoodfacts.org/product/3700389715225,kiliweb,1553434878,1592841608,Moulin long de Sel au basilic et parmesan,NA,Moulin long de Sel au basilic et parmesan,220 g,"MOULIN,VERRE,BOUTEILLE","moulin,verre,bouteille",NA,A'ROM,a-rom,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Epicerie, Condiments, Epices, Poivres, Sels","en:plant-based-foods-and-beverages,en:plant-based-foods,en:groceries,en:condiments,en:spices,en:peppers,en:salts",U.E.,fr:u-e,FRANCE,france,NA,NA,EMB13119B,emb-13119b,NA,carnoux-en-provence-bouches-du-rhone-france,FRANCE,"OTHERWINE,TJX,DU BRUIT DANS LA CUISINE,CABESTO,PINE APPLE","Danemark,France,Pays-Bas,Pologne,Royaume-Uni","Gros sel de mer 89,3%, basilic 7,1%, Parmesan 3,6% (LAIT cru de vache, sel, présure), antiagglomérant : E535.","en:milk,fr:NON RENSEIGNE","en:milk,fr:non-renseigne",en:none,en:none,NA,NA,NA,1,en:e535,0,NA,NA,0,NA,NA,NA,NA,2,unknown,unknown,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-completed, en:packaging-code-completed, en:characteristics-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:photos-uploaded",NA,NA,NA,en:salts,https://images.openfoodfacts.org/images/products/370/038/971/5225/front_fr.11.400.jpg,https://images.openfoodfacts.org/images/products/370/038/971/5225/front_fr.11.200.jpg,https://images.openfoodfacts.org/images/products/370/038/971/5225/front_fr.11.400.jpg,https://images.openfoodfacts.org/images/products/370/038/971/5225/front_fr.11.200.jpg,NA,NA,NA,NA,NA,10,42,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,0.089,0.0356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Condiments,Denmark
7311631509002,https://world.openfoodfacts.org/product/7311631509002,wolfgang8741,1566325578,1591454201,Flingsalt,NA,NA,120 g,"plastic,paper,box,jar","plastic,paper,box,jar",NA,Falksalt,falksalt,"Skafferi, en:Condiments, Salter","en:groceries,en:condiments,en:salts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Denmark,Sweden","Chili: Salt (NaCl minst 95 %), chili (5%).  Hickory: Salt (NaCl minst 98 %), arom av rökt hickory.   LIME: Salt (NaCl minst 98 %), lime och arom av lime.",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,2,unknown,unknown,"en:to-be-checked, en:complete, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-validated, en:photos-uploaded",NA,NA,NA,en:salts,https://images.openfoodfacts.org/images/products/731/163/150/9002/front_sv.19.400.jpg,https://images.openfoodfacts.org/images/products/731/163/150/9002/front_sv.19.200.jpg,https://images.openfoodfacts.org/images/products/731/163/150/9002/front_sv.19.400.jpg,https://images.openfoodfacts.org/images/products/731/163/150/9002/front_sv.19.200.jpg,https://images.openfoodfacts.org/images/products/731/163/150/9002/ingredients_sv.17.400.jpg,https://images.openfoodfacts.org/images/products/731/163/150/9002/ingredients_sv.17.200.jpg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Condiments,Denmark
5000111001540,https://world.openfoodfacts.org/product/5000111001540,openfoodfacts-contributors,1396871031,1589721237,Worcestershire sauce,NA,NA,296 ml,Botella de vidrio,botella-de-vidrio,NA,Lea & Perrins,lea-perrins,"Epicerie, Condiments, Sauces, Sauces Worcestershire","en:groceries,en:condiments,en:sauces,en:worcestershire-sauces",Estados Unidos,fr:estados-unidos,Jalisco México,jalisco-mexico,NA,NA,NA,NA,NA,NA,Walmart,"Walmart,Sams club","Belgium, Denmark, France, Mexico, en:us","vinaigre de malt (avec de l'_orge_), vinaigre d'alcool, mélasse, sucre, sel, anchois, extrait de tamarin, oignons, ail, épices, arômes","en:fish,en:gluten","en:fish,en:gluten",es:Anchoas (PESCADO),es:anchoas-pescado,serving,130,NA,0,NA,0,NA,NA,0,NA,NA,14,d,4,Fat and sauces,Dressings and sauces,"en:to-be-checked, en:complete, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-validated, en:photos-uploaded",NA,NA,NA,en:worcestershire-sauces,https://images.openfoodfacts.org/images/products/500/011/100/1540/front_fr.10.400.jpg,https://images.openfoodfacts.org/images/products/500/011/100/1540/front_fr.10.200.jpg,https://images.openfoodfacts.org/images/products/500/011/100/1540/front_fr.10.400.jpg,https://images.openfoodfacts.org/images/products/500/011/100/1540/front_fr.10.200.jpg,https://images.openfoodfacts.org/images/products/500/011/100/1540/ingredients_fr.31.400.jpg,https://images.openfoodfacts.org/images/products/500/011/100/1540/ingredients_fr.31.200.jpg,https://images.openfoodfacts.org/images/products/500/011/100/1540/nutrition_fr.32.400.jpg,https://images.openfoodfacts.org/images/products/500/011/100/1540/nutrition_fr.32.200.jpg,NA,104,435,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,18,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,2,NA,NA,NA,3.2,1.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,Condiments,Denmark
