code,url,creator,created_t,last_modified_t,product_name,abbreviated_product_name,generic_name,quantity,packaging,packaging_tags,packaging_text,brands,brands_tags,categories,categories_tags,origins,origins_tags,manufacturing_places,manufacturing_places_tags,labels,labels_tags,emb_codes,emb_codes_tags,cities,cities_tags,purchase_places,stores,countries,ingredients_text,allergens,allergens_tags,traces,traces_tags,serving_size,serving_quantity,no_nutriments,additives_n,additives_tags,ingredients_from_palm_oil_n,ingredients_from_palm_oil,ingredients_from_palm_oil_tags,ingredients_that_may_be_from_palm_oil_n,ingredients_that_may_be_from_palm_oil,ingredients_that_may_be_from_palm_oil_tags,nutriscore_score,nutriscore_grade,nova_group,pnns_groups_1,pnns_groups_2,states,brand_owner,ecoscore_score_fr,ecoscore_grade_fr,main_category,image_url,image_small_url,image_front_url,image_front_small_url,image_ingredients_url,image_ingredients_small_url,image_nutrition_url,image_nutrition_small_url,energy-kj_100g,energy-kcal_100g,energy_100g,energy-from-fat_100g,fat_100g,saturated-fat_100g,-butyric-acid_100g,-caproic-acid_100g,-caprylic-acid_100g,-capric-acid_100g,-lauric-acid_100g,-myristic-acid_100g,-palmitic-acid_100g,-stearic-acid_100g,-arachidic-acid_100g,-behenic-acid_100g,-lignoceric-acid_100g,-cerotic-acid_100g,-montanic-acid_100g,-melissic-acid_100g,monounsaturated-fat_100g,polyunsaturated-fat_100g,omega-3-fat_100g,-alpha-linolenic-acid_100g,-eicosapentaenoic-acid_100g,-docosahexaenoic-acid_100g,omega-6-fat_100g,-linoleic-acid_100g,-arachidonic-acid_100g,-gamma-linolenic-acid_100g,-dihomo-gamma-linolenic-acid_100g,omega-9-fat_100g,-oleic-acid_100g,-elaidic-acid_100g,-gondoic-acid_100g,-mead-acid_100g,-erucic-acid_100g,-nervonic-acid_100g,trans-fat_100g,cholesterol_100g,carbohydrates_100g,sugars_100g,-sucrose_100g,-glucose_100g,-fructose_100g,-lactose_100g,-maltose_100g,-maltodextrins_100g,starch_100g,polyols_100g,fiber_100g,-soluble-fiber_100g,-insoluble-fiber_100g,proteins_100g,casein_100g,serum-proteins_100g,nucleotides_100g,salt_100g,sodium_100g,alcohol_100g,vitamin-a_100g,beta-carotene_100g,vitamin-d_100g,vitamin-e_100g,vitamin-k_100g,vitamin-c_100g,vitamin-b1_100g,vitamin-b2_100g,vitamin-pp_100g,vitamin-b6_100g,vitamin-b9_100g,folates_100g,vitamin-b12_100g,biotin_100g,pantothenic-acid_100g,silica_100g,bicarbonate_100g,potassium_100g,chloride_100g,calcium_100g,phosphorus_100g,iron_100g,magnesium_100g,zinc_100g,copper_100g,manganese_100g,fluoride_100g,selenium_100g,chromium_100g,molybdenum_100g,iodine_100g,caffeine_100g,taurine_100g,ph_100g,fruits-vegetables-nuts_100g,fruits-vegetables-nuts-dried_100g,fruits-vegetables-nuts-estimate_100g,collagen-meat-protein-ratio_100g,cocoa_100g,chlorophyl_100g,carbon-footprint_100g,carbon-footprint-from-meat-or-fish_100g,nutrition-score-fr_100g,nutrition-score-uk_100g,glycemic-index_100g,water-hardness_100g,choline_100g,phylloquinone_100g,beta-glucan_100g,inositol_100g,carnitine_100g,search_category,search_country
50107407,https://world.openfoodfacts.org/product/50107407,jakeschneider,1556993021,1610890192,Tizer,NA,Soda,330 ml,Can,can,NA,"Tizer,Barr","tizer,barr","Beverages, Carbonated drinks, Sodas, Sweetened beverages","en:beverages,en:carbonated-drinks,en:sodas,en:sweetened-beverages",NA,NA,Scotland,scotland,NA,NA,NA,NA,NA,NA,NA,NA,"Ireland,United Kingdom","CARBONATED WATER, SUGAR, ACID (CITRIC ACID), FLAVOURINGS, CONCENTRATES BLACK CARROT, SAFFLOWER), PRESERVATIVE (POTASSIUM SORBATE), SWEETENERS (ACESULFAME K, SUCRALOSE), ACIDITY REGULATOR (TRISODIUM CITRATE).",NA,NA,NA,NA,serving,100,NA,5,"en:e202,en:e330,en:e331,en:e331iii,en:e950,en:e955",0,NA,NA,0,NA,NA,6,d,4,Beverages,Artificially sweetened beverages,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:origins-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-selected, en:ingredients-photo-selected, en:front-photo-selected, en:photos-uploaded",NA,NA,NA,en:sweetened-beverages,https://images.openfoodfacts.org/images/products/50107407/front_en.12.400.jpg,https://images.openfoodfacts.org/images/products/50107407/front_en.12.200.jpg,https://images.openfoodfacts.org/images/products/50107407/front_en.12.400.jpg,https://images.openfoodfacts.org/images/products/50107407/front_en.12.200.jpg,https://images.openfoodfacts.org/images/products/50107407/ingredients_en.13.400.jpg,https://images.openfoodfacts.org/images/products/50107407/ingredients_en.13.200.jpg,https://images.openfoodfacts.org/images/products/50107407/nutrition_en.10.400.jpg,https://images.openfoodfacts.org/images/products/50107407/nutrition_en.10.200.jpg,70,NA,70,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9,3.9,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0.02,0.008,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,Beverages,Ireland
9001511100617,https://world.openfoodfacts.org/product/9001511100617,prepperapp,1607515979,1616537578,NA,NA,NA,0.5l,NA,NA,NA,Gösser,gosser,Beverages,en:beverages,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ireland,Germany",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,unknown,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-to-be-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:origins-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-completed, en:product-name-to-be-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-to-be-selected, en:ingredients-photo-to-be-selected, en:front-photo-selected, en:photos-uploaded",NA,NA,NA,en:beverages,https://images.openfoodfacts.org/images/products/900/151/110/0617/front_en.5.400.jpg,https://images.openfoodfacts.org/images/products/900/151/110/0617/front_en.5.200.jpg,https://images.openfoodfacts.org/images/products/900/151/110/0617/front_en.5.400.jpg,https://images.openfoodfacts.org/images/products/900/151/110/0617/front_en.5.200.jpg,NA,NA,NA,NA,NA,43,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Beverages,Ireland
90446412,https://world.openfoodfacts.org/product/90446412,kiliweb,1610810029,1621095835,The Summer Edition - Watermelon,NA,NA,250ml,aluminium,aluminium,NA,Red Bull,red-bull,Energy drinks,"en:beverages,en:energy-drinks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ireland,Dublin",Texaco,"United Kingdom,Ireland","Consume moderafely. redients: Water, Sucrose, Glucose, Add (Citric Ad) Gorbon Dioxide, Taurine (0.4 %), Acidity Regulator FAm Citrates), Caffeine (0.03 %), Vitamins (lin hntothenic Acid, B6, B12), Flavourings, Colours hacyanins, Riboflavins).",NA,NA,NA,NA,250g,250,NA,1,"en:e101,en:e101i",0,NA,NA,0,NA,NA,15,e,4,Beverages,Sweetened beverages,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:origins-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-selected, en:ingredients-photo-selected, en:front-photo-selected, en:photos-uploaded",NA,NA,NA,en:energy-drinks,https://images.openfoodfacts.org/images/products/90446412/front_en.3.400.jpg,https://images.openfoodfacts.org/images/products/90446412/front_en.3.200.jpg,https://images.openfoodfacts.org/images/products/90446412/front_en.3.400.jpg,https://images.openfoodfacts.org/images/products/90446412/front_en.3.200.jpg,https://images.openfoodfacts.org/images/products/90446412/ingredients_en.11.400.jpg,https://images.openfoodfacts.org/images/products/90446412/ingredients_en.11.200.jpg,https://images.openfoodfacts.org/images/products/90446412/nutrition_en.14.400.jpg,https://images.openfoodfacts.org/images/products/90446412/nutrition_en.14.200.jpg,190,45,190,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0.1,0.04,NA,0.002,NA,NA,NA,NA,NA,NA,0.008,NA,NA,NA,NA,0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,Beverages,Ireland
5051622750366,https://world.openfoodfacts.org/product/5051622750366,kiliweb,1580757406,1611138154,Double Strength Blackcurrant Squash,NA,NA,1.5 l,en:pet-bottle,en-pet-bottle,NA,Tesco,tesco,"Plant-based foods and beverages, Beverages, Plant-based beverages, Fruit-based beverages, Still fruit soft drinks, Still fruit soft drink with sugar, Sweetened beverages","en:plant-based-foods-and-beverages,en:beverages,en:plant-based-beverages,en:fruit-based-beverages,en:still-fruit-soft-drinks,en:still-fruit-soft-drink-with-sugar,en:sweetened-beverages",NA,NA,NA,NA,"No artificial flavors,No added sugar,No artificial colors,No artificial colours or flavours,Vegan","en:vegetarian,en:no-artificial-flavors,en:vegan,en:no-added-sugar,en:no-artificial-colors,en:no-artificial-colours-or-flavours",NA,NA,NA,NA,NA,Tesco,"Ireland,United Kingdom,en:united-kingdom","Water, Blackcurrant Juice from Concentrate 20%, Citric Acid, Acidity Regulator (Sodium Citrate), Colour (Anthocyanins), Flavourings, Sweeteners (Sucralose, Acesulfame K), Preservatives (Potassium Sorbate, Sodium _Metabisulphite_), Malic Acid, Antioxidant (Ascorbic Acid).",NA,en:metabisulphite,NA,NA,NA,NA,NA,9,"en:e163,en:e202,en:e223,en:e296,en:e300,en:e330,en:e331,en:e950,en:e955",0,NA,NA,0,NA,NA,2,c,4,Beverages,Artificially sweetened beverages,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:origins-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-selected, en:ingredients-photo-selected, en:front-photo-selected, en:photos-uploaded",NA,NA,NA,en:sweetened-beverages,https://images.openfoodfacts.org/images/products/505/162/275/0366/front_en.17.400.jpg,https://images.openfoodfacts.org/images/products/505/162/275/0366/front_en.17.200.jpg,https://images.openfoodfacts.org/images/products/505/162/275/0366/front_en.17.400.jpg,https://images.openfoodfacts.org/images/products/505/162/275/0366/front_en.17.200.jpg,https://images.openfoodfacts.org/images/products/505/162/275/0366/ingredients_en.20.400.jpg,https://images.openfoodfacts.org/images/products/505/162/275/0366/ingredients_en.20.200.jpg,https://images.openfoodfacts.org/images/products/505/162/275/0366/nutrition_en.23.400.jpg,https://images.openfoodfacts.org/images/products/505/162/275/0366/nutrition_en.23.200.jpg,NA,1,4,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0.1,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,Beverages,Ireland
5059316125926,https://world.openfoodfacts.org/product/5059316125926,kiliweb,1590936495,1627491291,Tesco Lemon & Lime Spring Water,NA,NA,NA,NA,NA,NA,Tesco,tesco,Spring waters,"en:beverages,en:waters,en:spring-waters",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tesco,en:ie,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,a,1,Beverages,Waters and flavored waters,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-to-be-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:origins-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-selected, en:ingredients-photo-to-be-selected, en:front-photo-selected, en:photos-uploaded",NA,NA,NA,en:spring-waters,https://images.openfoodfacts.org/images/products/505/931/612/5926/front_en.3.400.jpg,https://images.openfoodfacts.org/images/products/505/931/612/5926/front_en.3.200.jpg,https://images.openfoodfacts.org/images/products/505/931/612/5926/front_en.3.400.jpg,https://images.openfoodfacts.org/images/products/505/931/612/5926/front_en.3.200.jpg,NA,NA,https://images.openfoodfacts.org/images/products/505/931/612/5926/nutrition_en.5.400.jpg,https://images.openfoodfacts.org/images/products/505/931/612/5926/nutrition_en.5.200.jpg,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,Beverages,Ireland
4060800178015,https://world.openfoodfacts.org/product/4060800178015,prepperapp,1586362473,1626703842,Pepsi Max Cherry,NA,NA,1.25l,"en:pet-bottle, en:sleeve","en-pet-bottle,en-sleeve",NA,Pepsi Cola Co.,pepsi-cola-co,Beverages,en:beverages,NA,NA,NA,NA,"Vegetarian, Vegan","en:vegetarian,en:vegan",NA,NA,NA,NA,NA,NA,"Ireland, Germany","carbonated water, colour (caramel e150d), sweeteners (aspartame, acesulfame k), flavourings (including caffeine), acids (phosphoric acid citric acid), preservative (potassium sorbate),",NA,NA,NA,NA,NA,NA,NA,5,"en:e150d,en:e202,en:e330,en:e950,en:e951",0,NA,NA,0,NA,NA,NA,NA,4,Beverages,Artificially sweetened beverages,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:origins-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-to-be-selected, en:ingredients-photo-selected, en:front-photo-to-be-selected, en:photos-uploaded",NA,NA,NA,en:beverages,NA,NA,NA,NA,https://images.openfoodfacts.org/images/products/406/080/017/8015/ingredients_en.5.400.jpg,https://images.openfoodfacts.org/images/products/406/080/017/8015/ingredients_en.5.200.jpg,NA,NA,NA,0.6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Beverages,Ireland
4311596435838,https://world.openfoodfacts.org/product/4311596435838,prepperapp,1590225546,1610554359,Apfelsaftschorle,NA,NA,NA,flasche,flasche,NA,G&G,g-g,Beverages,en:beverages,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ireland, Germany",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,unknown,"en:to-be-completed, en:nutrition-facts-to-be-completed, en:ingredients-to-be-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:origins-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-uploaded",NA,NA,NA,en:beverages,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Beverages,Ireland
4388844009882,https://world.openfoodfacts.org/product/4388844009882,prepperapp,1584127494,1626563777,Röstkaffee gemahlen,NA,NA,500 g,Kuststofftüte,kuststofftute,NA,Rewe Bio,rewe-bio,"Pflanzliche Lebensmittel und Getränke,Getränke,Pflanzliche Lebensmittel,Kaffees,en:Arabica coffees,Filterkaffee,en:Arabica ground coffees","en:plant-based-foods-and-beverages,en:beverages,en:plant-based-foods,en:coffees,en:arabica-coffees,en:ground-coffees,en:arabica-ground-coffees",NA,NA,NA,NA,"Bio,Fairtrade,EG-Öko-Verordnung","en:organic,en:eu-organic,en:fair-trade,en:eg-oko-verordnung,en:fairtrade-international",NA,NA,NA,NA,NA,Rewe,"Deutschland,Irland",Bio-Arabica,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,unknown,unknown,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:origins-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-to-be-selected, en:ingredients-photo-to-be-selected, en:front-photo-to-be-selected, en:photos-uploaded",NA,NA,NA,en:arabica-ground-coffees,https://images.openfoodfacts.org/images/products/438/884/400/9882/front_en.11.400.jpg,https://images.openfoodfacts.org/images/products/438/884/400/9882/front_en.11.200.jpg,https://images.openfoodfacts.org/images/products/438/884/400/9882/front_en.11.400.jpg,https://images.openfoodfacts.org/images/products/438/884/400/9882/front_en.11.200.jpg,https://images.openfoodfacts.org/images/products/438/884/400/9882/ingredients_en.13.400.jpg,https://images.openfoodfacts.org/images/products/438/884/400/9882/ingredients_en.13.200.jpg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Beverages,Ireland
5060495115585,https://world.openfoodfacts.org/product/5060495115585,kiliweb,1606737081,1630413605,Hot & Savoury Mexican Chili,NA,NA,679 g,NA,NA,NA,Huel,huel,"Plant-based foods and beverages, Beverages, Plant-based foods, Cereals and potatoes, Seeds, Cereals and their products, Hot beverages, Meals, Cereal grains, Meal replacements","en:plant-based-foods-and-beverages,en:beverages,en:plant-based-foods,en:cereals-and-potatoes,en:seeds,en:cereals-and-their-products,en:hot-beverages,en:meals,en:cereal-grains,en:meal-replacements",NA,NA,NA,NA,"Vegetarian, Vegan","en:vegetarian,en:vegan",NA,NA,NA,NA,NA,huel.com,"France,Ireland","Flaxseed, Dried Grains (17%) (Brown Rice, Quinoa), Pea Protein, Dried Black Beans (11%), Tomato Powder (10%), Dried Vegetables (7%) (Bell Pepper, Tomato, Onion), Mexican Style Chilli Natural Flavouring (3.5%), Rice Flour, Rice Starch, Corn Starch, Sunflower Oil Powder, Medium-Chain Triglycerides Powder (from Coconut), *Micronutrient Blend, Salt, Chipotle Chilli Flakes (0.7%), Dried Coriander (0.6%), Colour (Concentrate of Radish and Carrot). *Potassium Chloride, Calcium Carbonate, Potassium Citrate, Vitamin C (as Ascorbic Acid), Nicotinamide, Vitamin E (as D-Alpha Tocopheryl), Lutein, Pantothenic Acid (as Calcium-D-Pantothenate) Lycopene, Zinc Oxide, Vitamin A (as Retinyl Acetate), Vitamin B6 (as Pyridoxine Hydrochloride), Riboflavin, Thiamine Mononitrate, Calcium-L-Methylfolate, Vitamin K2 (as Menaquinone-7), Zeaxanthin, Potassium lodide, Plant-Derived Vitamin D3, Vitamin D2 (as Ergocalciferol), Vitamin B12 (as Cyanocobalamin). May contain: Mustard.",NA,NA,en:mustard,en:mustard,97g,97,NA,3,"en:e160d,en:e161b,en:e161h",0,NA,NA,0,NA,NA,NA,NA,4,Composite foods,One-dish meals,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:origins-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-to-be-selected, en:ingredients-photo-selected, en:front-photo-selected, en:photos-uploaded",NA,NA,NA,en:meal-replacements,https://images.openfoodfacts.org/images/products/506/049/511/5585/front_en.23.400.jpg,https://images.openfoodfacts.org/images/products/506/049/511/5585/front_en.23.200.jpg,https://images.openfoodfacts.org/images/products/506/049/511/5585/front_en.23.400.jpg,https://images.openfoodfacts.org/images/products/506/049/511/5585/front_en.23.200.jpg,https://images.openfoodfacts.org/images/products/506/049/511/5585/ingredients_en.21.400.jpg,https://images.openfoodfacts.org/images/products/506/049/511/5585/ingredients_en.21.200.jpg,NA,NA,NA,400,1674,NA,13,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,9.4,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,25,NA,NA,NA,1.2,0.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Beverages,Ireland
4011900510106,https://world.openfoodfacts.org/product/4011900510106,prepperapp,1585852693,1610280382,Mumm,NA,NA,750ml,Flasche(n),flasche-n,NA,Mumm & Co.,mumm-co,Beverages,en:beverages,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ireland, Germany",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,unknown,"en:to-be-completed, en:nutrition-facts-to-be-completed, en:ingredients-to-be-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:origins-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-uploaded",NA,NA,NA,en:beverages,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Beverages,Ireland
