code,url,creator,created_t,last_modified_t,product_name,abbreviated_product_name,generic_name,quantity,packaging,packaging_tags,packaging_text,brands,brands_tags,categories,categories_tags,origins,origins_tags,manufacturing_places,manufacturing_places_tags,labels,labels_tags,emb_codes,emb_codes_tags,cities,cities_tags,purchase_places,stores,countries,ingredients_text,allergens,allergens_tags,traces,traces_tags,serving_size,serving_quantity,no_nutriments,additives_n,additives_tags,ingredients_from_palm_oil_n,ingredients_from_palm_oil,ingredients_from_palm_oil_tags,ingredients_that_may_be_from_palm_oil_n,ingredients_that_may_be_from_palm_oil,ingredients_that_may_be_from_palm_oil_tags,nutriscore_score,nutriscore_grade,nova_group,pnns_groups_1,pnns_groups_2,states,brand_owner,ecoscore_score_fr,ecoscore_grade_fr,main_category,image_url,image_small_url,image_front_url,image_front_small_url,image_ingredients_url,image_ingredients_small_url,image_nutrition_url,image_nutrition_small_url,energy-kj_100g,energy-kcal_100g,energy_100g,energy-from-fat_100g,fat_100g,saturated-fat_100g,-butyric-acid_100g,-caproic-acid_100g,-caprylic-acid_100g,-capric-acid_100g,-lauric-acid_100g,-myristic-acid_100g,-palmitic-acid_100g,-stearic-acid_100g,-arachidic-acid_100g,-behenic-acid_100g,-lignoceric-acid_100g,-cerotic-acid_100g,-montanic-acid_100g,-melissic-acid_100g,monounsaturated-fat_100g,polyunsaturated-fat_100g,omega-3-fat_100g,-alpha-linolenic-acid_100g,-eicosapentaenoic-acid_100g,-docosahexaenoic-acid_100g,omega-6-fat_100g,-linoleic-acid_100g,-arachidonic-acid_100g,-gamma-linolenic-acid_100g,-dihomo-gamma-linolenic-acid_100g,omega-9-fat_100g,-oleic-acid_100g,-elaidic-acid_100g,-gondoic-acid_100g,-mead-acid_100g,-erucic-acid_100g,-nervonic-acid_100g,trans-fat_100g,cholesterol_100g,carbohydrates_100g,sugars_100g,-sucrose_100g,-glucose_100g,-fructose_100g,-lactose_100g,-maltose_100g,-maltodextrins_100g,starch_100g,polyols_100g,fiber_100g,-soluble-fiber_100g,-insoluble-fiber_100g,proteins_100g,casein_100g,serum-proteins_100g,nucleotides_100g,salt_100g,sodium_100g,alcohol_100g,vitamin-a_100g,beta-carotene_100g,vitamin-d_100g,vitamin-e_100g,vitamin-k_100g,vitamin-c_100g,vitamin-b1_100g,vitamin-b2_100g,vitamin-pp_100g,vitamin-b6_100g,vitamin-b9_100g,folates_100g,vitamin-b12_100g,biotin_100g,pantothenic-acid_100g,silica_100g,bicarbonate_100g,potassium_100g,chloride_100g,calcium_100g,phosphorus_100g,iron_100g,magnesium_100g,zinc_100g,copper_100g,manganese_100g,fluoride_100g,selenium_100g,chromium_100g,molybdenum_100g,iodine_100g,caffeine_100g,taurine_100g,ph_100g,fruits-vegetables-nuts_100g,fruits-vegetables-nuts-dried_100g,fruits-vegetables-nuts-estimate_100g,collagen-meat-protein-ratio_100g,cocoa_100g,chlorophyl_100g,carbon-footprint_100g,carbon-footprint-from-meat-or-fish_100g,nutrition-score-fr_100g,nutrition-score-uk_100g,glycemic-index_100g,water-hardness_100g,choline_100g,phylloquinone_100g,beta-glucan_100g,inositol_100g,carnitine_100g,search_category,search_country
4088600299808,https://world.openfoodfacts.org/product/4088600299808,kiliweb,1610886396,1629311288,Greek style yogurt,NA,NA,500 g,plastic,plastic,NA,Duneen,duneen,"Dairies, Fermented foods, Fermented milk products, Yogurts, Greek-style yogurt on a bed of fruits, en:greek-style-yogurts","en:dairies,en:fermented-foods,en:fermented-milk-products,en:yogurts,en:greek-style-yogurt-on-a-bed-of-fruits,en:greek-style-yogurts",Ireland,en:ireland,cork,cork,NA,NA,IE1098EC,ie-1098-ec,NA,NA,Ireland,Aldi,en:ie,"YOGURT (99%) (Milk), Yogurt Cultures S. thermophilus, Bifdobacterium spp, L acidophilus).",NA,en:milk,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,NA,NA,6,c,3,Milk and dairy products,Milk and yogurt,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-completed, en:characteristics-completed, en:origins-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-selected, en:ingredients-photo-selected, en:front-photo-selected, en:photos-uploaded",NA,NA,NA,en:greek-style-yogurts,https://images.openfoodfacts.org/images/products/408/860/029/9808/front_en.3.400.jpg,https://images.openfoodfacts.org/images/products/408/860/029/9808/front_en.3.200.jpg,https://images.openfoodfacts.org/images/products/408/860/029/9808/front_en.3.400.jpg,https://images.openfoodfacts.org/images/products/408/860/029/9808/front_en.3.200.jpg,https://images.openfoodfacts.org/images/products/408/860/029/9808/ingredients_en.12.400.jpg,https://images.openfoodfacts.org/images/products/408/860/029/9808/ingredients_en.12.200.jpg,https://images.openfoodfacts.org/images/products/408/860/029/9808/nutrition_en.5.400.jpg,https://images.openfoodfacts.org/images/products/408/860/029/9808/nutrition_en.5.200.jpg,NA,131,548,NA,9.5,6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,0.2,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,Dairies,Ireland
00007573,https://world.openfoodfacts.org/product/00007573,openfoodfacts-contributors,1610824154,1610824511,Camembert d'Isigny Sainte Mère,NA,NA,250g,Poplar box,poplar-box,NA,Tesco finest,tesco-finest,"Dairies, Fermented foods, Fermented milk products, Cheeses","en:dairies,en:fermented-foods,en:fermented-milk-products,en:cheeses",France,en:france,France,france,Unpasteurised milk,en:unpasteurised-milk,FR 14.342.001 EC,fr-14-342-001-ec,NA,isigny-sur-mer-calvados-france,Ireland,Tesco,en:Ireland,Milk,NA,en:milk,NA,NA,30g,30,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,3,Milk and dairy products,Cheese,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-completed, en:characteristics-completed, en:origins-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-selected, en:ingredients-photo-to-be-selected, en:front-photo-selected, en:photos-uploaded",NA,NA,NA,en:cheeses,https://images.openfoodfacts.org/images/products/00007573/front_en.4.400.jpg,https://images.openfoodfacts.org/images/products/00007573/front_en.4.200.jpg,https://images.openfoodfacts.org/images/products/00007573/front_en.4.400.jpg,https://images.openfoodfacts.org/images/products/00007573/front_en.4.200.jpg,NA,NA,https://images.openfoodfacts.org/images/products/00007573/nutrition_en.7.400.jpg,https://images.openfoodfacts.org/images/products/00007573/nutrition_en.7.200.jpg,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,21,NA,NA,NA,1.7,0.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dairies,Ireland
40466064,https://world.openfoodfacts.org/product/40466064,prepperapp,1604046511,1627805581,Frühlingsquark,NA,NA,185g,"Kunststoff,Aluminiumfolie","kunststoff,aluminiumfolie","Deckel, Folie, und Gefäß trennen und in den gelben Sack entsorgen",Milram,milram,"Milchprodukte,Desserts,Fermentierte Lebensmittel,Fermentierte Milch,Milchnachspeisen,Quark","en:dairies,en:desserts,en:fermented-foods,en:fermented-milk-products,en:dairy-desserts,en:quark",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Deutschland,Irland","Speisequark, Sauermilcherzeugnis, Schnittlauch, Speisesalz, Meerrettich, Zwiebeln, Petersilie und Senf (Senfsaat, Branntweinessig, Trinkwasser, Speisesalz).","en:milk,en:mustard","en:milk,en:mustard",NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,NA,NA,-1,a,3,Milk and dairy products,Dairy desserts,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:origins-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-validated, en:packaging-photo-selected, en:nutrition-photo-selected, en:ingredients-photo-selected, en:front-photo-selected, en:photos-uploaded",NA,NA,NA,en:quark,https://images.openfoodfacts.org/images/products/40466064/front_en.15.400.jpg,https://images.openfoodfacts.org/images/products/40466064/front_en.15.200.jpg,https://images.openfoodfacts.org/images/products/40466064/front_en.15.400.jpg,https://images.openfoodfacts.org/images/products/40466064/front_en.15.200.jpg,https://images.openfoodfacts.org/images/products/40466064/ingredients_de.32.400.jpg,https://images.openfoodfacts.org/images/products/40466064/ingredients_de.32.200.jpg,https://images.openfoodfacts.org/images/products/40466064/nutrition_en.17.400.jpg,https://images.openfoodfacts.org/images/products/40466064/nutrition_en.17.200.jpg,354,84,354,NA,2.8,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2,3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,0.63,0.252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,Dairies,Ireland
4002971396805,https://world.openfoodfacts.org/product/4002971396805,prepperapp,1610703787,1614358304,FT. Waldbeeren,NA,NA,115g,Plastik,plastik,NA,Ehrmann,ehrmann,"Milchprodukte, Desserts, Fermentierte Lebensmittel, Fermentierte Milch, Käse, Milchnachspeisen, Joghurt, Quark, Frischkäse, Gesüßter Joghurt","en:dairies,en:desserts,en:fermented-foods,en:fermented-milk-products,en:cheeses,en:dairy-desserts,en:yogurts,en:quark,en:cream-cheeses,en:sweetened-yogurts",Deutschland,en:germany,Oberschönegg,oberschonegg,NA,NA,DE BY 77727 EG,de-by-77727-ec,NA,NA,NA,NA,"Deutschland,Irland,en:germany","Dessert aus Frischkäse, Joghurt mild und Waldbeeren. Zutaten 35 % FRISCHKÄSE, 27 % JOGHURT mild, Zucker, Wasser, SAHNE. 3% Brombeeren, 2 % Erdbeeren, 1 % Holunderbeeren, 1 % Heidelberen kca 1 % Himbeeren, modifizierte Stärke, Speisegelatine (Rind), Verdickungsmittel: Guarkernmehl, Johannisbrotkernmehl; färbende 3,9g Pflanzenkonzentrate (Hibiskus, Karotte), Aroma. Mit Stickstoff aufgeschlagen.",NA,en:milk,NA,NA,115g,115,NA,3,"en:e14xx,en:e412,en:e428",0,NA,NA,0,NA,NA,3,c,4,Milk and dairy products,Milk and yogurt,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-completed, en:characteristics-completed, en:origins-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-selected, en:ingredients-photo-selected, en:front-photo-selected, en:photos-uploaded",NA,NA,NA,en:sweetened-yogurts,https://images.openfoodfacts.org/images/products/400/297/139/6805/front_de.15.400.jpg,https://images.openfoodfacts.org/images/products/400/297/139/6805/front_de.15.200.jpg,https://images.openfoodfacts.org/images/products/400/297/139/6805/front_de.15.400.jpg,https://images.openfoodfacts.org/images/products/400/297/139/6805/front_de.15.200.jpg,https://images.openfoodfacts.org/images/products/400/297/139/6805/ingredients_de.7.400.jpg,https://images.openfoodfacts.org/images/products/400/297/139/6805/ingredients_de.7.200.jpg,https://images.openfoodfacts.org/images/products/400/297/139/6805/nutrition_de.17.400.jpg,https://images.openfoodfacts.org/images/products/400/297/139/6805/nutrition_de.17.200.jpg,NA,109,456,NA,3.9,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4,NA,NA,NA,0.1,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,Dairies,Ireland
20511289,https://world.openfoodfacts.org/product/20511289,kiliweb,1509961162,1617847276,Skimmed UHT Milk,NA,NA,1 l,en:composite-carton,en-composite-carton,NA,Dairy Manor,dairy-manor,"Dairies, Milks, Skimmed milks","en:dairies,en:milks,en:skimmed-milks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ireland,United Kingdom",Lidl,"France,Ireland,United Kingdom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,a,NA,Milk and dairy products,Milk and yogurt,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-to-be-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:origins-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-to-be-selected, en:ingredients-photo-to-be-selected, en:front-photo-selected, en:photos-uploaded",NA,NA,NA,en:skimmed-milks,https://images.openfoodfacts.org/images/products/20511289/front_en.12.400.jpg,https://images.openfoodfacts.org/images/products/20511289/front_en.12.200.jpg,https://images.openfoodfacts.org/images/products/20511289/front_en.12.400.jpg,https://images.openfoodfacts.org/images/products/20511289/front_en.12.200.jpg,NA,NA,NA,NA,NA,35,146,NA,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9,4.9,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,3.4,NA,NA,NA,0.11,0.044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,Dairies,Ireland
5057753748746,https://world.openfoodfacts.org/product/5057753748746,kiliweb,1566723982,1629794596,Tesco Whole Milk,NA,NA,NA,en:carton,en-carton,NA,Tesco,tesco,"Dairies, Milks, Homogenized milks, Pasteurised milks, Whole milks, Cow milks","en:dairies,en:milks,en:homogenized-milks,en:pasteurised-milks,en:whole-milks,en:cow-milks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tesco,Ireland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,b,NA,Milk and dairy products,Milk and yogurt,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-to-be-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:origins-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-selected, en:ingredients-photo-to-be-selected, en:front-photo-selected, en:photos-uploaded",NA,NA,NA,en:cow-milks,https://images.openfoodfacts.org/images/products/505/775/374/8746/front_en.3.400.jpg,https://images.openfoodfacts.org/images/products/505/775/374/8746/front_en.3.200.jpg,https://images.openfoodfacts.org/images/products/505/775/374/8746/front_en.3.400.jpg,https://images.openfoodfacts.org/images/products/505/775/374/8746/front_en.3.200.jpg,NA,NA,https://images.openfoodfacts.org/images/products/505/775/374/8746/nutrition_en.10.400.jpg,https://images.openfoodfacts.org/images/products/505/775/374/8746/nutrition_en.10.200.jpg,NA,64,268,NA,3.5,2.2999999523163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6999998092651,4.6999998092651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4000000953674,NA,NA,NA,0.10000000149012,0.040000000596048003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,Dairies,Ireland
3329770059450,https://world.openfoodfacts.org/product/3329770059450,kiliweb,1549398924,1610560746,Greek style yogurt vanilla flavour,NA,NA,NA,NA,NA,NA,Liberté,liberte,"Dairies, Fermented foods, Fermented milk products, Yogurts, Greek-yogurts, Vanilla yogurt","en:dairies,en:fermented-foods,en:fermented-milk-products,en:yogurts,en:greek-style-yogurts,en:vanilla-yogurt",NA,NA,NA,NA,Gluten-free,en:no-gluten,NA,NA,NA,NA,NA,NA,"United Kingdom,Ireland","Fat free yogurt (Skimmed milk, Skimmed milk powder, Lactic Cultures (milk)) - Sugar 8.8% - Water - Maize starch - Lemon juice - Natural vanilla flavouring - Exhausted vanilla pods - Milk mineral concentrate.",NA,en:milk,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,NA,NA,0,b,4,Milk and dairy products,Milk and yogurt,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:origins-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-to-be-selected, en:ingredients-photo-selected, en:front-photo-selected, en:photos-uploaded",NA,NA,NA,en:vanilla-yogurt,https://images.openfoodfacts.org/images/products/332/977/005/9450/front_en.4.400.jpg,https://images.openfoodfacts.org/images/products/332/977/005/9450/front_en.4.200.jpg,https://images.openfoodfacts.org/images/products/332/977/005/9450/front_en.4.400.jpg,https://images.openfoodfacts.org/images/products/332/977/005/9450/front_en.4.200.jpg,https://images.openfoodfacts.org/images/products/332/977/005/9450/ingredients_en.10.400.jpg,https://images.openfoodfacts.org/images/products/332/977/005/9450/ingredients_en.10.200.jpg,NA,NA,NA,353,1477,NA,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.2,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.4,NA,NA,NA,0.12,0.048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,Dairies,Ireland
3329770053311,https://world.openfoodfacts.org/product/3329770053311,kiliweb,1521281959,1626181687,Greek style yoghurt on a layer of mango,NA,NA,NA,NA,NA,NA,Liberté,liberte,"Dairies, Fermented foods, Fermented milk products, Yogurts, Fruit yogurts, Cow-milk-yogurt, Greek-yogurts, Mango yogurts","en:dairies,en:fermented-foods,en:fermented-milk-products,en:yogurts,en:fruit-yogurts,en:cow-milk-yogurts,en:greek-style-yogurts,en:mango-yogurts",NA,NA,NA,NA,Gluten-free,en:no-gluten,NA,NA,NA,NA,NA,NA,"United Kingdom,Ireland","fat-free yogurt (skimmed milk, skimmed milk powder, lactic cultures (milk)) - sugar 7,9% - mango 7,2% - maize starch - carrot juice - lemon juice - stabilisers: carrageenan, guar gum - milk mineral concentrate - natural flavouring,",NA,en:milk,NA,NA,NA,NA,NA,2,"en:e407,en:e412",0,NA,NA,0,NA,NA,-1,a,4,Milk and dairy products,Milk and yogurt,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:origins-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-to-be-selected, en:ingredients-photo-selected, en:front-photo-selected, en:photos-uploaded",NA,NA,NA,en:mango-yogurts,https://images.openfoodfacts.org/images/products/332/977/005/3311/front_en.4.400.jpg,https://images.openfoodfacts.org/images/products/332/977/005/3311/front_en.4.200.jpg,https://images.openfoodfacts.org/images/products/332/977/005/3311/front_en.4.400.jpg,https://images.openfoodfacts.org/images/products/332/977/005/3311/front_en.4.200.jpg,https://images.openfoodfacts.org/images/products/332/977/005/3311/ingredients_en.9.400.jpg,https://images.openfoodfacts.org/images/products/332/977/005/3311/ingredients_en.9.200.jpg,NA,NA,NA,84,351,NA,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.3,11.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,NA,NA,NA,0.12,0.048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,Dairies,Ireland
4025500183073,https://world.openfoodfacts.org/product/4025500183073,openfoodfacts-contributors,1559942294,1610436698,Greek style yogurt,NA,NA,NA,NA,NA,NA,Müller,muller,"Dairies, Fermented foods, Fermented milk products, Yogurts, Greek-yogurts","en:dairies,en:fermented-foods,en:fermented-milk-products,en:yogurts,en:greek-style-yogurts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en:Ireland,"yogurt (milk), sugar, whipping cream (milk) (13%), water, lemon juice prote salt from concentrate (2%), modified maize starch, emulsifier: e472b, gelatine, acidity regulator: citric acid, stabiliser: pectins, flavourings, colours: titanium dioxide, carotenes, curcumin, plain caramel, allergy advice: see ingredients in bold, müle made",NA,en:milk,NA,NA,110g,110,NA,8,"en:e100,en:e150a,en:e160a,en:e171,en:e330,en:e428,en:e440,en:e472b",0,NA,NA,1,NA,e472b-ester-diacetyl-lactique-de-mono-et-diglycerides-d-acides-gras,7,c,4,Milk and dairy products,Milk and yogurt,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:origins-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-selected, en:ingredients-photo-selected, en:front-photo-selected, en:photos-uploaded",NA,NA,NA,en:greek-style-yogurts,https://images.openfoodfacts.org/images/products/402/550/018/3073/front_en.5.400.jpg,https://images.openfoodfacts.org/images/products/402/550/018/3073/front_en.5.200.jpg,https://images.openfoodfacts.org/images/products/402/550/018/3073/front_en.5.400.jpg,https://images.openfoodfacts.org/images/products/402/550/018/3073/front_en.5.200.jpg,https://images.openfoodfacts.org/images/products/402/550/018/3073/ingredients_en.10.400.jpg,https://images.openfoodfacts.org/images/products/402/550/018/3073/ingredients_en.10.200.jpg,https://images.openfoodfacts.org/images/products/402/550/018/3073/nutrition_en.7.400.jpg,https://images.openfoodfacts.org/images/products/402/550/018/3073/nutrition_en.7.200.jpg,NA,161,674,NA,5.9,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.2,21.3,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,4,NA,NA,NA,0.2,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,Dairies,Ireland
40466095,https://world.openfoodfacts.org/product/40466095,prepperapp,1589269513,1612624159,Paprika Quark,NA,NA,185g,produkt,produkt,NA,Milram,milram,"Dairies, Desserts, Fermented foods, Fermented milk products, Dairy desserts, Quark","en:dairies,en:desserts,en:fermented-foods,en:fermented-milk-products,en:dairy-desserts,en:quark",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ireland, Germany",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,d,NA,Milk and dairy products,Dairy desserts,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-to-be-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:origins-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-selected, en:ingredients-photo-to-be-selected, en:front-photo-selected, en:photos-uploaded",NA,NA,NA,en:quark,https://images.openfoodfacts.org/images/products/40466095/front_en.8.400.jpg,https://images.openfoodfacts.org/images/products/40466095/front_en.8.200.jpg,https://images.openfoodfacts.org/images/products/40466095/front_en.8.400.jpg,https://images.openfoodfacts.org/images/products/40466095/front_en.8.200.jpg,NA,NA,https://images.openfoodfacts.org/images/products/40466095/nutrition_en.10.400.jpg,https://images.openfoodfacts.org/images/products/40466095/nutrition_en.10.200.jpg,NA,128,536,NA,8.2,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.9,NA,NA,NA,0.95,0.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,Dairies,Ireland
