code,url,creator,created_t,last_modified_t,product_name,abbreviated_product_name,generic_name,quantity,packaging,packaging_tags,packaging_text,brands,brands_tags,categories,categories_tags,origins,origins_tags,manufacturing_places,manufacturing_places_tags,labels,labels_tags,emb_codes,emb_codes_tags,cities,cities_tags,purchase_places,stores,countries,ingredients_text,allergens,allergens_tags,traces,traces_tags,serving_size,serving_quantity,no_nutriments,additives_n,additives_tags,ingredients_from_palm_oil_n,ingredients_from_palm_oil,ingredients_from_palm_oil_tags,ingredients_that_may_be_from_palm_oil_n,ingredients_that_may_be_from_palm_oil,ingredients_that_may_be_from_palm_oil_tags,nutriscore_score,nutriscore_grade,nova_group,pnns_groups_1,pnns_groups_2,states,brand_owner,ecoscore_score_fr,ecoscore_grade_fr,main_category,image_url,image_small_url,image_front_url,image_front_small_url,image_ingredients_url,image_ingredients_small_url,image_nutrition_url,image_nutrition_small_url,energy-kj_100g,energy-kcal_100g,energy_100g,energy-from-fat_100g,fat_100g,saturated-fat_100g,-butyric-acid_100g,-caproic-acid_100g,-caprylic-acid_100g,-capric-acid_100g,-lauric-acid_100g,-myristic-acid_100g,-palmitic-acid_100g,-stearic-acid_100g,-arachidic-acid_100g,-behenic-acid_100g,-lignoceric-acid_100g,-cerotic-acid_100g,-montanic-acid_100g,-melissic-acid_100g,monounsaturated-fat_100g,polyunsaturated-fat_100g,omega-3-fat_100g,-alpha-linolenic-acid_100g,-eicosapentaenoic-acid_100g,-docosahexaenoic-acid_100g,omega-6-fat_100g,-linoleic-acid_100g,-arachidonic-acid_100g,-gamma-linolenic-acid_100g,-dihomo-gamma-linolenic-acid_100g,omega-9-fat_100g,-oleic-acid_100g,-elaidic-acid_100g,-gondoic-acid_100g,-mead-acid_100g,-erucic-acid_100g,-nervonic-acid_100g,trans-fat_100g,cholesterol_100g,carbohydrates_100g,sugars_100g,-sucrose_100g,-glucose_100g,-fructose_100g,-lactose_100g,-maltose_100g,-maltodextrins_100g,starch_100g,polyols_100g,fiber_100g,-soluble-fiber_100g,-insoluble-fiber_100g,proteins_100g,casein_100g,serum-proteins_100g,nucleotides_100g,salt_100g,sodium_100g,alcohol_100g,vitamin-a_100g,beta-carotene_100g,vitamin-d_100g,vitamin-e_100g,vitamin-k_100g,vitamin-c_100g,vitamin-b1_100g,vitamin-b2_100g,vitamin-pp_100g,vitamin-b6_100g,vitamin-b9_100g,folates_100g,vitamin-b12_100g,biotin_100g,pantothenic-acid_100g,silica_100g,bicarbonate_100g,potassium_100g,chloride_100g,calcium_100g,phosphorus_100g,iron_100g,magnesium_100g,zinc_100g,copper_100g,manganese_100g,fluoride_100g,selenium_100g,chromium_100g,molybdenum_100g,iodine_100g,caffeine_100g,taurine_100g,ph_100g,fruits-vegetables-nuts_100g,fruits-vegetables-nuts-dried_100g,fruits-vegetables-nuts-estimate_100g,collagen-meat-protein-ratio_100g,cocoa_100g,chlorophyl_100g,carbon-footprint_100g,carbon-footprint-from-meat-or-fish_100g,nutrition-score-fr_100g,nutrition-score-uk_100g,glycemic-index_100g,water-hardness_100g,choline_100g,phylloquinone_100g,beta-glucan_100g,inositol_100g,carnitine_100g,search_category,search_country
0200030008445,https://world.openfoodfacts.org/product/0200030008445,karbonado,1610522347,1610530860,Cynamon,NA,NA,60 g,Plastik,plastik,NA,Flying Tiger Copenhagen,flying-tiger-copenhagen,"en:Groceries, Przyprawy","en:groceries,en:condiments",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Flying Tiger Copenhagen,"Polska,Rumunia,Czechy,Norwegia,Dania,Litwa,Łotwa,Estonia,Szwecja,Finlandia,Słowacja",Cynamon kasja.,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,unknown,unknown,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:origins-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:ingredients-photo-selected, en:front-photo-selected, en:photos-uploaded",NA,NA,NA,en:condiments,https://images.openfoodfacts.org/images/products/020/003/000/8445/front_pl.4.400.jpg,https://images.openfoodfacts.org/images/products/020/003/000/8445/front_pl.4.200.jpg,https://images.openfoodfacts.org/images/products/020/003/000/8445/front_pl.4.400.jpg,https://images.openfoodfacts.org/images/products/020/003/000/8445/front_pl.4.200.jpg,https://images.openfoodfacts.org/images/products/020/003/000/8445/ingredients_pl.9.400.jpg,https://images.openfoodfacts.org/images/products/020/003/000/8445/ingredients_pl.9.200.jpg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Condiments,Norway
5014276600012,https://world.openfoodfacts.org/product/5014276600012,tacinte,1443890447,1624408808,NA,NA,NA,190 g,"Glas,en:glass-jar","glas,en-glass-jar",NA,Yutaka,yutaka,"Plant-based foods and beverages,Plant-based foods,Groceries,Condiments,Spices,Ginger","en:plant-based-foods-and-beverages,en:plant-based-foods,en:groceries,en:condiments,en:spices,en:ginger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Belgium,France,Germany,United Kingdom,Norway",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,unknown,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-to-be-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:origins-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-to-be-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-to-be-selected, en:ingredients-photo-to-be-selected, en:front-photo-selected, en:photos-uploaded",NA,NA,NA,en:ginger,https://images.openfoodfacts.org/images/products/501/427/660/0012/front_en.34.400.jpg,https://images.openfoodfacts.org/images/products/501/427/660/0012/front_en.34.200.jpg,https://images.openfoodfacts.org/images/products/501/427/660/0012/front_en.34.400.jpg,https://images.openfoodfacts.org/images/products/501/427/660/0012/front_en.34.200.jpg,NA,NA,NA,NA,36,9,36,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,0,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,0,NA,NA,NA,2.1,0.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Condiments,Norway
5017689002114,https://world.openfoodfacts.org/product/5017689002114,openfoodfacts-contributors,1609949024,1609949624,Whole Chillies Extra Hot,NA,NA,50g,plastic,plastic,NA,TRS,trs,"Plant-based foods and beverages, Plant-based foods, Groceries, Condiments, Spices","en:plant-based-foods-and-beverages,en:plant-based-foods,en:groceries,en:condiments,en:spices",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en:Norway,NA,NA,NA,NA,NA,50g,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,unknown,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-to-be-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:origins-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:ingredients-photo-to-be-selected, en:front-photo-to-be-selected, en:photos-uploaded",NA,NA,NA,en:spices,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Condiments,Norway
3036810204069,https://world.openfoodfacts.org/product/3036810204069,date-limite-app,1581792582,1609789782,Maille Au Miel 215gr,NA,NA,230g,NA,NA,NA,Maille,maille,"Groceries, Condiments, Sauces, Mustards","en:groceries,en:condiments,en:sauces,en:mustards",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"France,Norvège",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,e,NA,Fat and sauces,Dressings and sauces,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-to-be-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:origins-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-selected, en:ingredients-photo-to-be-selected, en:front-photo-selected, en:photos-uploaded",NA,NA,NA,en:mustards,https://images.openfoodfacts.org/images/products/303/681/020/4069/front_en.14.400.jpg,https://images.openfoodfacts.org/images/products/303/681/020/4069/front_en.14.200.jpg,https://images.openfoodfacts.org/images/products/303/681/020/4069/front_en.14.400.jpg,https://images.openfoodfacts.org/images/products/303/681/020/4069/front_en.14.200.jpg,NA,NA,https://images.openfoodfacts.org/images/products/303/681/020/4069/nutrition_en.16.400.jpg,https://images.openfoodfacts.org/images/products/303/681/020/4069/nutrition_en.16.200.jpg,NA,240,1004,NA,7.3,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2,NA,NA,NA,3,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,Condiments,Norway
8715035110106,https://world.openfoodfacts.org/product/8715035110106,elia,1351427339,1632764558,Soy sauce,NA,Naturally brewed soy sauce,150 ml,"bouteille verre,plastique,plast,en:glass-bottle,en:unknown-lid","bouteille-verre,plastique,plast,en-glass-bottle,en-unknown-lid","Bottle to glas, Cap opaque PP to plastic, plastic film Other to discard",Kikkoman,kikkoman,"Groceries,Condiments,Sauces,Soy sauces,fr:Sauces au soja salées","en:groceries,en:condiments,en:sauces,en:soy-sauces,fr:sauces-au-soja-salees",NA,NA,Nizozemska,nizozemska,"Contient du soja,Union Végétarienne Européenne,Union Végétarienne Européenne - Vegan,Végétalien,Végétarien","en:contient-du-soja,en:union-vegetarienne-europeenne,en:union-vegetarienne-europeenne-vegan,en:vegetalien,en:vegetarien",NA,NA,NA,NA,"United Kingdom,Paris,hrvatska","Asda,Irma.dk,Magasins U,Sainsbury's","Croatia,Denmark,France,Germany,Italy,Mexico,Netherlands,Norway,Spain,Switzerland,United Kingdom","water,  soybeans ,  wheat , salt,","en:gluten,en:soybeans,fr:Alcool,hr:Pšenica,hr:Sojino zrno","en:gluten,en:soybeans,fr:alcool,hr:pšenica,hr:sojino-zrno",NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,NA,NA,5,c,3,Fat and sauces,Dressings and sauces,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:origins-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-selected, en:ingredients-photo-selected, en:front-photo-selected, en:photos-uploaded",NA,NA,NA,fr:sauces-au-soja-salees,https://images.openfoodfacts.org/images/products/871/503/511/0106/front_en.172.400.jpg,https://images.openfoodfacts.org/images/products/871/503/511/0106/front_en.172.200.jpg,https://images.openfoodfacts.org/images/products/871/503/511/0106/front_en.172.400.jpg,https://images.openfoodfacts.org/images/products/871/503/511/0106/front_en.172.200.jpg,https://images.openfoodfacts.org/images/products/871/503/511/0106/ingredients_en.163.400.jpg,https://images.openfoodfacts.org/images/products/871/503/511/0106/ingredients_en.163.200.jpg,https://images.openfoodfacts.org/images/products/871/503/511/0106/nutrition_en.143.400.jpg,https://images.openfoodfacts.org/images/products/871/503/511/0106/nutrition_en.143.200.jpg,325,77,325,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,16.9,6.76,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,Condiments,Norway
87158335,https://world.openfoodfacts.org/product/87158335,stiell,1477543854,1608543459,Ekstra finkornet bordsalt med jod,NA,Bordsalt med jod,125 g,Plastic,plastic,NA,Jozo,jozo,"en:Groceries, en:Condiments, en:Salts, en:Table salts","en:groceries,en:condiments,en:salts,en:table-salts",NA,NA,Netherlands,netherlands,NA,NA,NA,NA,NA,NA,NA,NA,Norway,"Salt (NaCl) min. 99,8 %, antiklumpemiddel (E551, E535), kaliumjodid",NA,NA,NA,NA,NA,NA,NA,2,"en:e535,en:e551",0,NA,NA,0,NA,NA,NA,NA,4,unknown,unknown,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-completed, en:packaging-code-to-be-completed, en:characteristics-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-selected, en:ingredients-photo-selected, en:front-photo-selected, en:photos-uploaded",NA,NA,NA,en:table-salts,https://images.openfoodfacts.org/images/products/87158335/front_nb.18.400.jpg,https://images.openfoodfacts.org/images/products/87158335/front_nb.18.200.jpg,https://images.openfoodfacts.org/images/products/87158335/front_nb.18.400.jpg,https://images.openfoodfacts.org/images/products/87158335/front_nb.18.200.jpg,https://images.openfoodfacts.org/images/products/87158335/ingredients_nb.20.400.jpg,https://images.openfoodfacts.org/images/products/87158335/ingredients_nb.20.200.jpg,https://images.openfoodfacts.org/images/products/87158335/nutrition_nb.22.400.jpg,https://images.openfoodfacts.org/images/products/87158335/nutrition_nb.22.200.jpg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.8,39.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Condiments,Norway
7038490300013,https://world.openfoodfacts.org/product/7038490300013,openfoodfacts-contributors,1602229167,1608543459,Havsalt,NA,NA,300 g,"Papier,Kunststoff","papier,kunststoff",NA,Jozo,jozo,"en:Groceries, en:Condiments, en:Salts","en:groceries,en:condiments,en:salts",NA,NA,Karibik,karibik,NA,NA,NA,NA,NA,NA,NA,NA,en:Norway,"Salt (NaCl), antiklumpemiddel/ antiklumpningsmiddel (E535.",NA,NA,NA,NA,NA,NA,NA,1,en:e535,0,NA,NA,0,NA,NA,NA,NA,NA,unknown,unknown,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-to-be-selected, en:ingredients-photo-selected, en:front-photo-to-be-selected, en:photos-uploaded",NA,NA,NA,en:salts,NA,NA,NA,NA,https://images.openfoodfacts.org/images/products/703/849/030/0013/ingredients_nb.20.400.jpg,https://images.openfoodfacts.org/images/products/703/849/030/0013/ingredients_nb.20.200.jpg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Condiments,Norway
5011428300035,https://world.openfoodfacts.org/product/5011428300035,kiliweb,1534514601,1627092005,Sea Salt Flakes,NA,NA,125g,Box,box,NA,Maldon,maldon,"Groceries,Condiments,Salts","en:groceries,en:condiments,en:salts",NA,NA,NA,NA,"Kosher,Sin aditivos","en:kosher,en:sin-aditivos",NA,NA,NA,NA,NA,Woolworths,"Australia,France,Spain,Norway",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,unknown,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-to-be-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:origins-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-to-be-selected, en:ingredients-photo-to-be-selected, en:front-photo-selected, en:photos-uploaded",NA,NA,NA,en:salts,https://images.openfoodfacts.org/images/products/501/142/830/0035/front_nb.22.400.jpg,https://images.openfoodfacts.org/images/products/501/142/830/0035/front_nb.22.200.jpg,https://images.openfoodfacts.org/images/products/501/142/830/0035/front_nb.22.400.jpg,https://images.openfoodfacts.org/images/products/501/142/830/0035/front_nb.22.200.jpg,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,89,35.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Condiments,Norway
7032069718131,https://world.openfoodfacts.org/product/7032069718131,inf,1601136649,1627691502,Tomater med hvitløk,NA,NA,390g,NA,NA,NA,Rema 1000,rema-1000,"Tomatoes,Garlic","en:plant-based-foods-and-beverages,en:plant-based-foods,en:groceries,en:condiments,en:fruits-and-vegetables-based-foods,en:culinary-plants,en:vegetables-based-foods,en:tomatoes-and-their-products,en:tomatoes,en:garlic-and-their-products,en:garlic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Norway,"Hakkede og skinnfrie tomater (60 %), tomatjuice (39 %), salt, tørket hvitløk, tørket oregano, hvitløksekstrakt, oreganoekstrakt, surhetsregulerende middel (E 330).",NA,NA,NA,NA,NA,NA,NA,1,en:e330,0,NA,NA,0,NA,NA,-5,a,NA,Fruits and vegetables,Vegetables,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:origins-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-selected, en:ingredients-photo-selected, en:front-photo-to-be-selected, en:photos-uploaded",NA,NA,NA,en:garlic,NA,NA,NA,NA,https://images.openfoodfacts.org/images/products/703/206/971/8131/ingredients_en.7.400.jpg,https://images.openfoodfacts.org/images/products/703/206/971/8131/ingredients_en.7.200.jpg,https://images.openfoodfacts.org/images/products/703/206/971/8131/nutrition_nb.9.400.jpg,https://images.openfoodfacts.org/images/products/703/206/971/8131/nutrition_nb.9.200.jpg,104,25,104,NA,0.5,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,3.6,NA,NA,NA,NA,NA,NA,NA,NA,1.2,NA,NA,1.3,NA,NA,NA,0.4,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5,NA,NA,NA,NA,NA,NA,NA,NA,Condiments,Norway
3036810201372,https://world.openfoodfacts.org/product/3036810201372,kiliweb,1529005530,1597216686,Maille Dijon Sennep,NA,NA,NA,NA,NA,NA,Maille,maille,"Epicerie, Condiments, Sauces, Moutardes, Moutardes de Dijon","en:groceries,en:condiments,en:sauces,en:mustards,en:dijon-mustards",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"France, en:no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,d,NA,Fat and sauces,Dressings and sauces,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-to-be-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-validated, en:photos-uploaded",NA,NA,NA,en:dijon-mustards,https://images.openfoodfacts.org/images/products/303/681/020/1372/front_fr.3.400.jpg,https://images.openfoodfacts.org/images/products/303/681/020/1372/front_fr.3.200.jpg,https://images.openfoodfacts.org/images/products/303/681/020/1372/front_fr.3.400.jpg,https://images.openfoodfacts.org/images/products/303/681/020/1372/front_fr.3.200.jpg,https://images.openfoodfacts.org/images/products/303/681/020/1372/ingredients_en.12.400.jpg,https://images.openfoodfacts.org/images/products/303/681/020/1372/ingredients_en.12.200.jpg,NA,NA,NA,620,2594,NA,11,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,5.7,2.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,Condiments,Norway
