code,url,creator,created_t,last_modified_t,product_name,abbreviated_product_name,generic_name,quantity,packaging,packaging_tags,packaging_text,brands,brands_tags,categories,categories_tags,origins,origins_tags,manufacturing_places,manufacturing_places_tags,labels,labels_tags,emb_codes,emb_codes_tags,cities,cities_tags,purchase_places,stores,countries,ingredients_text,allergens,allergens_tags,traces,traces_tags,serving_size,serving_quantity,no_nutriments,additives_n,additives_tags,ingredients_from_palm_oil_n,ingredients_from_palm_oil,ingredients_from_palm_oil_tags,ingredients_that_may_be_from_palm_oil_n,ingredients_that_may_be_from_palm_oil,ingredients_that_may_be_from_palm_oil_tags,nutriscore_score,nutriscore_grade,nova_group,pnns_groups_1,pnns_groups_2,states,brand_owner,ecoscore_score_fr,ecoscore_grade_fr,main_category,image_url,image_small_url,image_front_url,image_front_small_url,image_ingredients_url,image_ingredients_small_url,image_nutrition_url,image_nutrition_small_url,energy-kj_100g,energy-kcal_100g,energy_100g,energy-from-fat_100g,fat_100g,saturated-fat_100g,-butyric-acid_100g,-caproic-acid_100g,-caprylic-acid_100g,-capric-acid_100g,-lauric-acid_100g,-myristic-acid_100g,-palmitic-acid_100g,-stearic-acid_100g,-arachidic-acid_100g,-behenic-acid_100g,-lignoceric-acid_100g,-cerotic-acid_100g,-montanic-acid_100g,-melissic-acid_100g,monounsaturated-fat_100g,polyunsaturated-fat_100g,omega-3-fat_100g,-alpha-linolenic-acid_100g,-eicosapentaenoic-acid_100g,-docosahexaenoic-acid_100g,omega-6-fat_100g,-linoleic-acid_100g,-arachidonic-acid_100g,-gamma-linolenic-acid_100g,-dihomo-gamma-linolenic-acid_100g,omega-9-fat_100g,-oleic-acid_100g,-elaidic-acid_100g,-gondoic-acid_100g,-mead-acid_100g,-erucic-acid_100g,-nervonic-acid_100g,trans-fat_100g,cholesterol_100g,carbohydrates_100g,sugars_100g,-sucrose_100g,-glucose_100g,-fructose_100g,-lactose_100g,-maltose_100g,-maltodextrins_100g,starch_100g,polyols_100g,fiber_100g,-soluble-fiber_100g,-insoluble-fiber_100g,proteins_100g,casein_100g,serum-proteins_100g,nucleotides_100g,salt_100g,sodium_100g,alcohol_100g,vitamin-a_100g,beta-carotene_100g,vitamin-d_100g,vitamin-e_100g,vitamin-k_100g,vitamin-c_100g,vitamin-b1_100g,vitamin-b2_100g,vitamin-pp_100g,vitamin-b6_100g,vitamin-b9_100g,folates_100g,vitamin-b12_100g,biotin_100g,pantothenic-acid_100g,silica_100g,bicarbonate_100g,potassium_100g,chloride_100g,calcium_100g,phosphorus_100g,iron_100g,magnesium_100g,zinc_100g,copper_100g,manganese_100g,fluoride_100g,selenium_100g,chromium_100g,molybdenum_100g,iodine_100g,caffeine_100g,taurine_100g,ph_100g,fruits-vegetables-nuts_100g,fruits-vegetables-nuts-dried_100g,fruits-vegetables-nuts-estimate_100g,collagen-meat-protein-ratio_100g,cocoa_100g,chlorophyl_100g,carbon-footprint_100g,carbon-footprint-from-meat-or-fish_100g,nutrition-score-fr_100g,nutrition-score-uk_100g,glycemic-index_100g,water-hardness_100g,choline_100g,phylloquinone_100g,beta-glucan_100g,inositol_100g,carnitine_100g,search_category,search_country
7038010009457,https://world.openfoodfacts.org/product/7038010009457,hakonjs,1609508252,1609511758,Yoghurt Skogsbær,NA,NA,4x150g,"Plastic,cardboard","plastic,cardboard",NA,Tine,tine,"en:Dairies, en:Fermented foods, en:Fermented milk products, en:Yogurts","en:dairies,en:fermented-foods,en:fermented-milk-products,en:yogurts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Norway,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Milk and dairy products,Milk and yogurt,"en:to-be-completed, en:nutrition-facts-to-be-completed, en:ingredients-to-be-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-uploaded",NA,NA,NA,en:yogurts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dairies,Norway
7034280001269,https://world.openfoodfacts.org/product/7034280001269,openfoodfacts-contributors,1582383391,1627425903,Vegansk Osteerstattning,NA,NA,400g,NA,NA,NA,"Go'Vegan,Synnøve","go-vegan,synnøve",Cheeses,"en:dairies,en:fermented-foods,en:fermented-milk-products,en:cheeses",NA,NA,NA,NA,"Vegetarian,Vegan","en:vegetarian,en:vegan",NA,NA,NA,NA,NA,NA,Norway,"Vann, modifisert stivelse (potet, mais, tapioka), 20 % vegetabilsk fett (kokos), salt, trikalsiumsitrat, vegansk aroma, surhetsregulerende middel: sitronsyre, konserveringsmiddel: sorbinsyre, farge: betakaroten, B12 vitamin.",NA,NA,NA,NA,NA,NA,NA,3,"en:e160a,en:e160ai,en:e200,en:e330",0,NA,NA,0,NA,NA,20,e,4,Milk and dairy products,Cheese,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:origins-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-selected, en:nutrition-photo-selected, en:ingredients-photo-selected, en:front-photo-to-be-selected, en:photos-uploaded",NA,NA,NA,en:cheeses,NA,NA,NA,NA,https://images.openfoodfacts.org/images/products/703/428/000/1269/ingredients_nb.18.400.jpg,https://images.openfoodfacts.org/images/products/703/428/000/1269/ingredients_nb.18.200.jpg,https://images.openfoodfacts.org/images/products/703/428/000/1269/nutrition_nb.23.400.jpg,https://images.openfoodfacts.org/images/products/703/428/000/1269/nutrition_nb.23.200.jpg,1175,281,1175,NA,20,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,1.8,0.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5e-6,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,Dairies,Norway
7048840091539,https://world.openfoodfacts.org/product/7048840091539,britolis,1595658103,1608545812,skyr,NA,NA,160g,plastic,plastic,NA,kvali,kvali,"en:Dairies, en:Fermented foods, en:Fermented milk products, en:Yogurts","en:dairies,en:fermented-foods,en:fermented-milk-products,en:yogurts",NA,NA,norway,norway,Inneholder en fenylalaninkilde,en:contains-a-source-of-phenylalanine,NA,NA,NA,NA,Norway,NA,en:Norway,"Syrnet melkeprodukt, pasteurisert og ultrafiltrert. Inneholder søtstof. Med et naturlig innhold av sukker. Inneholder en fenylalaninkilde. INGREDIENSER: Skummetmelk, blåbær 7 %, solbærjuice 1,5 %&quot;, sitronjuice* aroma, søtstoff (aspartam og acesulfam K), melkesyrebakterier og laktase. *Fra konsentrat. LAKTOŠEREDUSERT (inneholder mindre enn 0,1 g laktose per 100g). ®",NA,NA,NA,NA,160g,160,NA,0,NA,0,NA,NA,0,NA,NA,-5,a,4,Milk and dairy products,Milk and yogurt,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-selected, en:ingredients-photo-selected, en:front-photo-selected, en:photos-uploaded",NA,NA,NA,en:yogurts,https://images.openfoodfacts.org/images/products/704/884/009/1539/front_nb.21.400.jpg,https://images.openfoodfacts.org/images/products/704/884/009/1539/front_nb.21.200.jpg,https://images.openfoodfacts.org/images/products/704/884/009/1539/front_nb.21.400.jpg,https://images.openfoodfacts.org/images/products/704/884/009/1539/front_nb.21.200.jpg,https://images.openfoodfacts.org/images/products/704/884/009/1539/ingredients_nb.23.400.jpg,https://images.openfoodfacts.org/images/products/704/884/009/1539/ingredients_nb.23.200.jpg,https://images.openfoodfacts.org/images/products/704/884/009/1539/nutrition_nb.25.400.jpg,https://images.openfoodfacts.org/images/products/704/884/009/1539/nutrition_nb.25.200.jpg,NA,61,255,NA,0.2,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA,NA,10,NA,NA,NA,0.1,0.04,0,NA,NA,NA,NA,NA,NA,NA,1.4e-4,NA,NA,NA,NA,7e-7,NA,NA,NA,NA,NA,NA,0.097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5,NA,NA,NA,NA,NA,NA,NA,NA,Dairies,Norway
7038010009624,https://world.openfoodfacts.org/product/7038010009624,britolis,1595831838,1608543864,yoghurt vanilje,NA,NA,600g,"paper, plastic","paper,plastic",NA,tine,tine,"en:Dairies, en:Fermented foods, en:Fermented milk products, en:Yogurts","en:dairies,en:fermented-foods,en:fermented-milk-products,en:yogurts",NA,NA,norway,norway,NA,NA,m123,m123,NA,NA,Norway,NA,en:Norway,"YOGHURT VANILJE NÆRINGSINNHOLD: helmelk, 5 % sukker, skummetmelkpulver, vaniljeekstrakt, aroma, yoghurtkultur, vaniljefrø.",NA,en:milk,NA,NA,150g,150,NA,0,NA,0,NA,NA,0,NA,NA,2,b,4,Milk and dairy products,Milk and yogurt,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-completed, en:characteristics-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-selected, en:ingredients-photo-selected, en:front-photo-selected, en:photos-uploaded",NA,NA,NA,en:yogurts,https://images.openfoodfacts.org/images/products/703/801/000/9624/front_nb.19.400.jpg,https://images.openfoodfacts.org/images/products/703/801/000/9624/front_nb.19.200.jpg,https://images.openfoodfacts.org/images/products/703/801/000/9624/front_nb.19.400.jpg,https://images.openfoodfacts.org/images/products/703/801/000/9624/front_nb.19.200.jpg,https://images.openfoodfacts.org/images/products/703/801/000/9624/ingredients_nb.21.400.jpg,https://images.openfoodfacts.org/images/products/703/801/000/9624/ingredients_nb.21.200.jpg,https://images.openfoodfacts.org/images/products/703/801/000/9624/nutrition_nb.23.400.jpg,https://images.openfoodfacts.org/images/products/703/801/000/9624/nutrition_nb.23.200.jpg,NA,84,351,NA,3.1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,3.7,NA,NA,NA,0.1,0.04,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4e-7,NA,NA,NA,NA,NA,NA,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,Dairies,Norway
7038010029103,https://world.openfoodfacts.org/product/7038010029103,openfoodfacts-contributors,1598435331,1608543864,Innherred Brunost,NA,NA,500 g,plastic,plastic,NA,Tine,tine,"en:Dairies, en:Fermented foods, en:Fermented milk products, en:Cheeses, en:Sheep's-milk cheeses, en:Cheese from ewe's whey","en:dairies,en:fermented-foods,en:fermented-milk-products,en:cheeses,en:sheep-s-milk-cheeses,en:cheese-from-ewe-s-whey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Norway,NA,en:Norway,"myse, pasteurisert melk, pasteurisert fløte, 4% sukker",NA,en:milk,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,NA,NA,21,e,4,Milk and dairy products,Cheese,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-selected, en:ingredients-photo-to-be-selected, en:front-photo-selected, en:photos-uploaded",NA,NA,NA,en:cheese-from-ewe-s-whey,https://images.openfoodfacts.org/images/products/703/801/002/9103/front_nb.16.400.jpg,https://images.openfoodfacts.org/images/products/703/801/002/9103/front_nb.16.200.jpg,https://images.openfoodfacts.org/images/products/703/801/002/9103/front_nb.16.400.jpg,https://images.openfoodfacts.org/images/products/703/801/002/9103/front_nb.16.200.jpg,NA,NA,https://images.openfoodfacts.org/images/products/703/801/002/9103/nutrition_nb.19.400.jpg,https://images.openfoodfacts.org/images/products/703/801/002/9103/nutrition_nb.19.200.jpg,1832,NA,1832,NA,27,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,0.7,0.28,NA,2.57e-4,NA,NA,NA,NA,NA,NA,8.6e-4,NA,NA,NA,NA,1e-6,NA,0.0018,NA,NA,1.18,NA,0.475,0.476,NA,0.071,NA,NA,NA,NA,2.9e-5,NA,2.1e-5,1.25e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,Dairies,Norway
7038010054730,https://world.openfoodfacts.org/product/7038010054730,kiliweb,1559382688,1618615036,Blåbær Biola,NA,NA,1000g,Tetra Pak,tetra-pak,NA,Tine,tine,"en:Beverages,en:Dairies,en:Fermented foods,en:Fermented milk products,en:Dairy drinks,en:Fermented drinks,en:Fermented milk drinks,en:Yogurts,en:Drinkable yogurts","en:beverages,en:dairies,en:fermented-foods,en:fermented-milk-products,en:dairy-drinks,en:fermented-drinks,en:fermented-milk-drinks,en:yogurts,en:drinkable-yogurts",NA,NA,NA,NA,Grønt Punkt,en:green-dot,FSC-C014047,fsc-c014047,NA,NA,NA,NA,Norge,"Skummet melk, 8 % blåbærjuice, 5 % sukker, 3% solbærjuice, yoghurtkultur, lactobacillus acidophilus La-5 (A), bifidobacterium Bb-12 (B), Lactobacillus rhamnosus GG (LGG®), aroma, vitamin D",NA,en:milk,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,NA,NA,1,b,4,Beverages,Sweetened beverages,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-completed, en:characteristics-to-be-completed, en:origins-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-validated, en:packaging-photo-selected, en:nutrition-photo-selected, en:ingredients-photo-selected, en:front-photo-selected, en:photos-uploaded",NA,NA,NA,en:drinkable-yogurts,https://images.openfoodfacts.org/images/products/703/801/005/4730/front_nb.35.400.jpg,https://images.openfoodfacts.org/images/products/703/801/005/4730/front_nb.35.200.jpg,https://images.openfoodfacts.org/images/products/703/801/005/4730/front_nb.35.400.jpg,https://images.openfoodfacts.org/images/products/703/801/005/4730/front_nb.35.200.jpg,https://images.openfoodfacts.org/images/products/703/801/005/4730/ingredients_nb.37.400.jpg,https://images.openfoodfacts.org/images/products/703/801/005/4730/ingredients_nb.37.200.jpg,https://images.openfoodfacts.org/images/products/703/801/005/4730/nutrition_nb.38.400.jpg,https://images.openfoodfacts.org/images/products/703/801/005/4730/nutrition_nb.38.200.jpg,213,50,213,NA,0.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.4,9.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,0.1,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,Dairies,Norway
7038010010347,https://world.openfoodfacts.org/product/7038010010347,date-limite-app,1470247958,1627686612,Meierismør,NA,Meierismør,250 g,Plastic,plastic,NA,Tine,tine,"Dairies,Fats,Spreads,Spreadable fats,Animal fats,Milkfat,Dairy spread,Butters","en:dairies,en:fats,en:spreads,en:spreadable-fats,en:animal-fats,en:milkfat,en:dairy-spread,en:butters",NA,NA,NA,NA,en:green-dot,en:green-dot,NA,NA,NA,NA,NA,NA,Norway,"fløte, salt, melkesyrekultur, vitamin D (kolekalsiferol)",en:milk,en:milk,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,NA,NA,23,e,2,Fat and sauces,Fats,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:origins-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-validated, en:packaging-photo-selected, en:nutrition-photo-selected, en:ingredients-photo-selected, en:front-photo-selected, en:photos-uploaded",NA,NA,NA,en:butters,https://images.openfoodfacts.org/images/products/703/801/001/0347/front_nb.37.400.jpg,https://images.openfoodfacts.org/images/products/703/801/001/0347/front_nb.37.200.jpg,https://images.openfoodfacts.org/images/products/703/801/001/0347/front_nb.37.400.jpg,https://images.openfoodfacts.org/images/products/703/801/001/0347/front_nb.37.200.jpg,https://images.openfoodfacts.org/images/products/703/801/001/0347/ingredients_nb.40.400.jpg,https://images.openfoodfacts.org/images/products/703/801/001/0347/ingredients_nb.40.200.jpg,https://images.openfoodfacts.org/images/products/703/801/001/0347/nutrition_nb.41.400.jpg,https://images.openfoodfacts.org/images/products/703/801/001/0347/nutrition_nb.41.200.jpg,3051,742,3051,NA,82,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,1.1,0.44,NA,7.81e-4,NA,1e-5,0.0021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,Dairies,Norway
2302148210463,https://world.openfoodfacts.org/product/2302148210463,openfoodfacts-contributors,1537184427,1608543446,NA,NA,NA,1,paquet 1kg,paquet-1kg,NA,tine,tine,en:Dairies,en:dairies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Norvège,NA,Norway,"pasteurisert melk, syrekultur, salt, mikrobiell løpe og surhetsregulerende middel (kalsiumklorid),",NA,en:milk,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,3,unknown,unknown,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-to-be-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-to-be-selected, en:ingredients-photo-selected, en:front-photo-selected, en:photos-uploaded",NA,NA,NA,en:dairies,https://images.openfoodfacts.org/images/products/230/214/821/0463/front_nb.16.400.jpg,https://images.openfoodfacts.org/images/products/230/214/821/0463/front_nb.16.200.jpg,https://images.openfoodfacts.org/images/products/230/214/821/0463/front_nb.16.400.jpg,https://images.openfoodfacts.org/images/products/230/214/821/0463/front_nb.16.200.jpg,https://images.openfoodfacts.org/images/products/230/214/821/0463/ingredients_nb.18.400.jpg,https://images.openfoodfacts.org/images/products/230/214/821/0463/ingredients_nb.18.200.jpg,NA,NA,1458,NA,1458,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,NA,NA,NA,1.2,0.48,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dairies,Norway
8712275101574,https://world.openfoodfacts.org/product/8712275101574,kiliweb,1608528041,1611945630,Milk semi skimmed,NA,NA,NA,NA,NA,NA,NA,NA,"Produits laitiers, Laits, Laits demi-écrémés","en:dairies,en:milks,en:semi-skimmed-milks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en:no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,a,NA,Milk and dairy products,Milk and yogurt,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-to-be-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:origins-to-be-completed, en:categories-completed, en:brands-to-be-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-selected, en:ingredients-photo-to-be-selected, en:front-photo-selected, en:photos-uploaded",NA,NA,NA,en:semi-skimmed-milks,https://images.openfoodfacts.org/images/products/871/227/510/1574/front_fr.3.400.jpg,https://images.openfoodfacts.org/images/products/871/227/510/1574/front_fr.3.200.jpg,https://images.openfoodfacts.org/images/products/871/227/510/1574/front_fr.3.400.jpg,https://images.openfoodfacts.org/images/products/871/227/510/1574/front_fr.3.200.jpg,NA,NA,https://images.openfoodfacts.org/images/products/871/227/510/1574/nutrition_fr.5.400.jpg,https://images.openfoodfacts.org/images/products/871/227/510/1574/nutrition_fr.5.200.jpg,NA,46,192,NA,1.5,0.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.7,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,Dairies,Norway
7038010023279,https://world.openfoodfacts.org/product/7038010023279,stiell,1477709497,1607819366,Kremgo' krydder,NA,Kremost med krydder,125 g,"Metal,Plastic","metal,plastic",NA,"Tine,Kremgo'","tine,kremgo","en:Dairies, en:Fermented foods, en:Fermented milk products, en:Cheeses, en:Cream cheeses","en:dairies,en:fermented-foods,en:fermented-milk-products,en:cheeses,en:cream-cheeses",NA,NA,NA,NA,Grønt Punkt,en:green-dot,NO M 262 EFTA,no-m-262-efta,NA,NA,NA,NA,Norway,"Pasteurisert _melk_ og _fløte_, salt, løk, stabilisator (johannesbrødkjernemel og guarkjernemel), paprika, krydder, hvitløk","en:milk,no:fløte","en:milk,no:fløte",NA,NA,NA,NA,NA,2,"en:e410,en:e412",0,NA,NA,0,NA,NA,14,d,4,Milk and dairy products,Cheese,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-completed, en:packaging-code-completed, en:characteristics-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-selected, en:ingredients-photo-selected, en:front-photo-selected, en:photos-uploaded",NA,NA,NA,en:cream-cheeses,https://images.openfoodfacts.org/images/products/703/801/002/3279/front_nb.16.400.jpg,https://images.openfoodfacts.org/images/products/703/801/002/3279/front_nb.16.200.jpg,https://images.openfoodfacts.org/images/products/703/801/002/3279/front_nb.16.400.jpg,https://images.openfoodfacts.org/images/products/703/801/002/3279/front_nb.16.200.jpg,https://images.openfoodfacts.org/images/products/703/801/002/3279/ingredients_nb.18.400.jpg,https://images.openfoodfacts.org/images/products/703/801/002/3279/ingredients_nb.18.200.jpg,https://images.openfoodfacts.org/images/products/703/801/002/3279/nutrition_nb.20.400.jpg,https://images.openfoodfacts.org/images/products/703/801/002/3279/nutrition_nb.20.200.jpg,1144,NA,1144,NA,27,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.9,NA,NA,NA,1,0.4,NA,2.7e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,Dairies,Norway
