code,url,creator,created_t,last_modified_t,product_name,abbreviated_product_name,generic_name,quantity,packaging,packaging_tags,packaging_text,brands,brands_tags,categories,categories_tags,origins,origins_tags,manufacturing_places,manufacturing_places_tags,labels,labels_tags,emb_codes,emb_codes_tags,cities,cities_tags,purchase_places,stores,countries,ingredients_text,allergens,allergens_tags,traces,traces_tags,serving_size,serving_quantity,no_nutriments,additives_n,additives_tags,ingredients_from_palm_oil_n,ingredients_from_palm_oil,ingredients_from_palm_oil_tags,ingredients_that_may_be_from_palm_oil_n,ingredients_that_may_be_from_palm_oil,ingredients_that_may_be_from_palm_oil_tags,nutriscore_score,nutriscore_grade,nova_group,pnns_groups_1,pnns_groups_2,states,brand_owner,ecoscore_score_fr,ecoscore_grade_fr,main_category,image_url,image_small_url,image_front_url,image_front_small_url,image_ingredients_url,image_ingredients_small_url,image_nutrition_url,image_nutrition_small_url,energy-kj_100g,energy-kcal_100g,energy_100g,energy-from-fat_100g,fat_100g,saturated-fat_100g,-butyric-acid_100g,-caproic-acid_100g,-caprylic-acid_100g,-capric-acid_100g,-lauric-acid_100g,-myristic-acid_100g,-palmitic-acid_100g,-stearic-acid_100g,-arachidic-acid_100g,-behenic-acid_100g,-lignoceric-acid_100g,-cerotic-acid_100g,-montanic-acid_100g,-melissic-acid_100g,monounsaturated-fat_100g,polyunsaturated-fat_100g,omega-3-fat_100g,-alpha-linolenic-acid_100g,-eicosapentaenoic-acid_100g,-docosahexaenoic-acid_100g,omega-6-fat_100g,-linoleic-acid_100g,-arachidonic-acid_100g,-gamma-linolenic-acid_100g,-dihomo-gamma-linolenic-acid_100g,omega-9-fat_100g,-oleic-acid_100g,-elaidic-acid_100g,-gondoic-acid_100g,-mead-acid_100g,-erucic-acid_100g,-nervonic-acid_100g,trans-fat_100g,cholesterol_100g,carbohydrates_100g,sugars_100g,-sucrose_100g,-glucose_100g,-fructose_100g,-lactose_100g,-maltose_100g,-maltodextrins_100g,starch_100g,polyols_100g,fiber_100g,-soluble-fiber_100g,-insoluble-fiber_100g,proteins_100g,casein_100g,serum-proteins_100g,nucleotides_100g,salt_100g,sodium_100g,alcohol_100g,vitamin-a_100g,beta-carotene_100g,vitamin-d_100g,vitamin-e_100g,vitamin-k_100g,vitamin-c_100g,vitamin-b1_100g,vitamin-b2_100g,vitamin-pp_100g,vitamin-b6_100g,vitamin-b9_100g,folates_100g,vitamin-b12_100g,biotin_100g,pantothenic-acid_100g,silica_100g,bicarbonate_100g,potassium_100g,chloride_100g,calcium_100g,phosphorus_100g,iron_100g,magnesium_100g,zinc_100g,copper_100g,manganese_100g,fluoride_100g,selenium_100g,chromium_100g,molybdenum_100g,iodine_100g,caffeine_100g,taurine_100g,ph_100g,fruits-vegetables-nuts_100g,fruits-vegetables-nuts-dried_100g,fruits-vegetables-nuts-estimate_100g,collagen-meat-protein-ratio_100g,cocoa_100g,chlorophyl_100g,carbon-footprint_100g,carbon-footprint-from-meat-or-fish_100g,nutrition-score-fr_100g,nutrition-score-uk_100g,glycemic-index_100g,water-hardness_100g,choline_100g,phylloquinone_100g,beta-glucan_100g,inositol_100g,carnitine_100g,search_category,search_country
8594008352008,https://world.openfoodfacts.org/product/8594008352008,clon,1524418080,1631284988,Kral syru,NA,NA,120g,"paper,Fresh","paper,fresh",NA,"Kral Syru,Kral syrů,Savencia","kral-syru,kral-syrů,savencia","Dairies,Fermented foods,Fermented milk products,Cheeses","en:dairies,en:fermented-foods,en:fermented-milk-products,en:cheeses",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Czech Republic,Slovakia","tesco,billa,samoska,kaufland","Czech Republic,Slovakia","_mléko_, sůl, mlékařské kultury, Penicillium camdidum",en:Mléko,"en:mleko,en:mleko",NA,NA,100g,100,NA,0,NA,0,NA,NA,0,NA,NA,16,d,NA,Milk and dairy products,Cheese,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:origins-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-selected, en:ingredients-photo-selected, en:front-photo-selected, en:photos-uploaded",NA,NA,NA,en:cheeses,https://images.openfoodfacts.org/images/products/859/400/835/2008/front_en.16.400.jpg,https://images.openfoodfacts.org/images/products/859/400/835/2008/front_en.16.200.jpg,https://images.openfoodfacts.org/images/products/859/400/835/2008/front_en.16.400.jpg,https://images.openfoodfacts.org/images/products/859/400/835/2008/front_en.16.200.jpg,https://images.openfoodfacts.org/images/products/859/400/835/2008/ingredients_en.6.400.jpg,https://images.openfoodfacts.org/images/products/859/400/835/2008/ingredients_en.6.200.jpg,https://images.openfoodfacts.org/images/products/859/400/835/2008/nutrition_en.7.400.jpg,https://images.openfoodfacts.org/images/products/859/400/835/2008/nutrition_en.7.200.jpg,1376,NA,1376,NA,28,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,1.6,0.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,Dairies,Slovakia
8586001540605,https://world.openfoodfacts.org/product/8586001540605,openfoodfacts-contributors,1572600414,1609263778,jogurt vanilkový,NA,NA,145g,NA,NA,NA,Milsy,milsy,"en:Dairies, en:Fermented foods, en:Fermented milk products, Jogurt, en:Vanilla yogurt","en:dairies,en:fermented-foods,en:fermented-milk-products,en:yogurts,en:vanilla-yogurt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Slovakia,"cream ccislander with vanilla 15 % mass. (sugar, corn starch, aroma, yellow carrot extract, vanilla extract), yogurt culture.",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,Milk and dairy products,Milk and yogurt,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-to-be-selected, en:ingredients-photo-selected, en:front-photo-selected, en:photos-uploaded",NA,NA,NA,en:vanilla-yogurt,https://images.openfoodfacts.org/images/products/858/600/154/0605/front_sk.9.400.jpg,https://images.openfoodfacts.org/images/products/858/600/154/0605/front_sk.9.200.jpg,https://images.openfoodfacts.org/images/products/858/600/154/0605/front_sk.9.400.jpg,https://images.openfoodfacts.org/images/products/858/600/154/0605/front_sk.9.200.jpg,https://images.openfoodfacts.org/images/products/858/600/154/0605/ingredients_en.3.400.jpg,https://images.openfoodfacts.org/images/products/858/600/154/0605/ingredients_en.3.200.jpg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dairies,Slovakia
8588006028386,https://world.openfoodfacts.org/product/8588006028386,risajanda,1608496000,1608503692,Ovčí jogurt malinový,NA,NA,145 g,"glass,paper,metal","glass,paper,metal",PAP 22 k recyklaci  GL 70 k recyklaci,Ivachnovský,ivachnovsky,"Mléčné výrobky, en:Fermented foods, en:Fermented milk products, Jogurt, en:Sheep milk yogurts","en:dairies,en:fermented-foods,en:fermented-milk-products,en:yogurts,en:sheep-milk-yogurts",NA,NA,"Liptov,SK","liptov,sk",NA,NA,SK 4-7-156 EC,sk-4-7-156-ec,NA,NA,Praha,"Globus,Tesco","Czech Republic,Slovakia","Pasterizované _ovčí mléko_, jogurtová kultura, příchuť: min. 15 % hmotnostního podílu (cukr 46 %, maliny 30 %, voda, glukózovo-fruktózový sirup, zahustovadla: modifikovaný kukuřičný škrob a pektin; aroma malinové, barvivo karmín, regulátor kyselosti: kyselina citronová). Obsahuje živou mikroflóru.",cs:ovčí mléko,cs:ovčí-mléko,NA,NA,NA,NA,NA,1,en:e330,0,NA,NA,0,NA,NA,3,c,NA,Milk and dairy products,Milk and yogurt,"en:to-be-checked, en:complete, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-completed, en:characteristics-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-validated, en:packaging-photo-selected, en:nutrition-photo-selected, en:ingredients-photo-selected, en:front-photo-selected, en:photos-uploaded",NA,NA,NA,en:sheep-milk-yogurts,https://images.openfoodfacts.org/images/products/858/800/602/8386/front_cs.12.400.jpg,https://images.openfoodfacts.org/images/products/858/800/602/8386/front_cs.12.200.jpg,https://images.openfoodfacts.org/images/products/858/800/602/8386/front_cs.12.400.jpg,https://images.openfoodfacts.org/images/products/858/800/602/8386/front_cs.12.200.jpg,https://images.openfoodfacts.org/images/products/858/800/602/8386/ingredients_cs.13.400.jpg,https://images.openfoodfacts.org/images/products/858/800/602/8386/ingredients_cs.13.200.jpg,https://images.openfoodfacts.org/images/products/858/800/602/8386/nutrition_cs.14.400.jpg,https://images.openfoodfacts.org/images/products/858/800/602/8386/nutrition_cs.14.200.jpg,512,122,512,NA,6,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.1,11.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.1,NA,NA,NA,0.07,0.028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,Dairies,Slovakia
8594001174485,https://world.openfoodfacts.org/product/8594001174485,openfoodfacts-contributors,1550237830,1603479187,Jogurt bio selsky,NA,NA,400 g,NA,NA,NA,hollandia,hollandia,"Mléčné výrobky, en:Fermented foods, en:Fermented milk products, Jogurt","en:dairies,en:fermented-foods,en:fermented-milk-products,en:yogurts",NA,NA,NA,NA,"Bio, EU bio, CZ-BIO-001","en:organic,en:eu-organic,en:cz-bio-001",cz 709 es,cz-709-es,NA,NA,Slovensko,NA,"Slovaquie, en:france","BIO mléko, BIO mléčná bilkovina, jogurtová kultura, kultura Bifdobacterium a Lactobacillus acidophilus (1000000/g).",NA,en:milk,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,NA,NA,0,b,NA,Milk and dairy products,Milk and yogurt,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-completed, en:characteristics-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-selected, en:ingredients-photo-selected, en:front-photo-selected, en:photos-uploaded",NA,NA,NA,en:yogurts,https://images.openfoodfacts.org/images/products/859/400/117/4485/front_cs.4.400.jpg,https://images.openfoodfacts.org/images/products/859/400/117/4485/front_cs.4.200.jpg,https://images.openfoodfacts.org/images/products/859/400/117/4485/front_cs.4.400.jpg,https://images.openfoodfacts.org/images/products/859/400/117/4485/front_cs.4.200.jpg,https://images.openfoodfacts.org/images/products/859/400/117/4485/ingredients_cs.7.400.jpg,https://images.openfoodfacts.org/images/products/859/400/117/4485/ingredients_cs.7.200.jpg,https://images.openfoodfacts.org/images/products/859/400/117/4485/nutrition_cs.10.400.jpg,https://images.openfoodfacts.org/images/products/859/400/117/4485/nutrition_cs.10.200.jpg,NA,63,264,NA,3.8,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,0.1,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,Dairies,Slovakia
8585002507235,https://world.openfoodfacts.org/product/8585002507235,openfoodfacts-contributors,1550236548,1597276110,"mlieko 3,5%",NA,NA,1 l,NA,NA,NA,tesco,tesco,"en:Dairies, en:Milks, en:Homogenized milks, en:UHT Milks","en:dairies,en:milks,en:homogenized-milks,en:uht-milks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Slovensko,tesco,Slovakia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,b,NA,Milk and dairy products,Milk and yogurt,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-to-be-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:photos-uploaded",NA,NA,NA,en:uht-milks,https://images.openfoodfacts.org/images/products/858/500/250/7235/front_sk.4.400.jpg,https://images.openfoodfacts.org/images/products/858/500/250/7235/front_sk.4.200.jpg,https://images.openfoodfacts.org/images/products/858/500/250/7235/front_sk.4.400.jpg,https://images.openfoodfacts.org/images/products/858/500/250/7235/front_sk.4.200.jpg,NA,NA,https://images.openfoodfacts.org/images/products/858/500/250/7235/nutrition_sk.10.400.jpg,https://images.openfoodfacts.org/images/products/858/500/250/7235/nutrition_sk.10.200.jpg,267,64,267,NA,3.5,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.8,4.8,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,3.3,NA,NA,NA,0.1,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,Dairies,Slovakia
8586000140394,https://world.openfoodfacts.org/product/8586000140394,openfoodfacts-contributors,1592386354,1592386707,Zvolenský smetanový jogurt,NA,NA,145g,NA,NA,NA,Zvolenský,zvolensky,"Mléčné výrobky, en:Fermented foods, en:Fermented milk products, Jogurt, Ovocné jogurty","en:dairies,en:fermented-foods,en:fermented-milk-products,en:yogurts,en:fruit-yogurts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en:Slovakia,NA,NA,NA,NA,NA,145g,145,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,c,NA,Milk and dairy products,Milk and yogurt,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-to-be-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:photos-uploaded",NA,NA,NA,en:fruit-yogurts,NA,NA,NA,NA,NA,NA,NA,NA,NA,146,611,NA,9,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.1,12.3,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,2.6,NA,NA,NA,0.1,0.04,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,Dairies,Slovakia
8586000049536,https://world.openfoodfacts.org/product/8586000049536,openfoodfacts-contributors,1586428841,1590661651,Gouda,NA,NA,100 g,"plastic,fresh","plastic,fresh",NA,"Liptov,Savencia","liptov,savencia","en:Dairies, en:Fermented foods, en:Fermented milk products, en:Cheeses, en:Cheeses of the Netherlands, en:Gouda, Syr gouda","en:dairies,en:fermented-foods,en:fermented-milk-products,en:cheeses,en:cheeses-of-the-netherlands,en:gouda,sk:syr-gouda",Slovensko,en:slovakia,Liptovský Mikusáš,liptovsky-mikusaš,NA,NA,SK 800 ES,sk-800-es,NA,NA,Slovensko,Tesco,Slovakia,"Gouda-porciované plátky SK Polotvrdý zrejúci plnotučný porciovaný syr. Zloženie: mlieko, sol, mliekarenské kultúry. Skladujte pri teploté 4-8°C. Sušina min. 56 %. Tuk min. 27 %. Dátum minimálnej trvanlivostí je uvedený na prednej strane obalu. Balené v ochrannej atmosfére CO, a N7.     CZ • Přírodní plátkovaný sýr. Složení: mléko, sůl, mlékařské kultury. Skladujté pří teplotě 4-8°C. Sušina min. 56 %. Tuk min. 27 %. Datum minimální tivanlivosti je uvedeno na přední straně obalu. Baleno v ochranné atmosféře CÓ, a N.",NA,en:milk,en:milk,en:milk,NA,NA,NA,0,NA,0,NA,NA,0,NA,NA,16,d,NA,Milk and dairy products,Cheese,"en:to-be-checked, en:complete, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-completed, en:packaging-code-completed, en:characteristics-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-validated, en:photos-uploaded",NA,NA,NA,sk:syr-gouda,https://images.openfoodfacts.org/images/products/858/600/004/9536/front_sk.7.400.jpg,https://images.openfoodfacts.org/images/products/858/600/004/9536/front_sk.7.200.jpg,https://images.openfoodfacts.org/images/products/858/600/004/9536/front_sk.7.400.jpg,https://images.openfoodfacts.org/images/products/858/600/004/9536/front_sk.7.200.jpg,https://images.openfoodfacts.org/images/products/858/600/004/9536/ingredients_sk.16.400.jpg,https://images.openfoodfacts.org/images/products/858/600/004/9536/ingredients_sk.16.200.jpg,https://images.openfoodfacts.org/images/products/858/600/004/9536/nutrition_sk.13.400.jpg,https://images.openfoodfacts.org/images/products/858/600/004/9536/nutrition_sk.13.200.jpg,1481,357,1481,NA,28,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,NA,1.7,0.68,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,Dairies,Slovakia
5051007130134,https://world.openfoodfacts.org/product/5051007130134,pyrka,1590615040,1590615459,Jogurt owoce leśne,NA,NA,150 g,"PP, Alu","pp,alu",NA,Tesco,tesco,"Nabiał, en:Fermented foods, en:Fermented milk products, Jogurty","en:dairies,en:fermented-foods,en:fermented-milk-products,en:yogurts",NA,NA,NA,NA,NA,NA,CZ709ES,cz709es,NA,NA,NA,Tesco,"Polska, Słowacja, Czechy, Węgry","_mleko_ pełne, wsad owocowy (24%) (owoce leśne (50%) (truskawki, jeżyny, maliny, jagody, owoce czarnego bzu w zmiennych proporcjach), cukier, skrobia modyfikowana kukurydziana, stabilizator (pektyny), naturalny aromat], regulator kwasowości (kwas cytrynowy), białka _mleka_, żywe kultury bakterii jogurtowych, kultury Bifidobacterium lactis i Lactobacillus acidophilus.",NA,en:milk,NA,NA,150g,150,NA,2,"en:e330,en:e440",0,NA,NA,0,NA,NA,3,c,4,Milk and dairy products,Milk and yogurt,"en:to-be-checked, en:complete, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-completed, en:characteristics-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-validated, en:photos-uploaded",NA,NA,NA,en:yogurts,https://images.openfoodfacts.org/images/products/505/100/713/0134/front_pl.4.400.jpg,https://images.openfoodfacts.org/images/products/505/100/713/0134/front_pl.4.200.jpg,https://images.openfoodfacts.org/images/products/505/100/713/0134/front_pl.4.400.jpg,https://images.openfoodfacts.org/images/products/505/100/713/0134/front_pl.4.200.jpg,https://images.openfoodfacts.org/images/products/505/100/713/0134/ingredients_pl.10.400.jpg,https://images.openfoodfacts.org/images/products/505/100/713/0134/ingredients_pl.10.200.jpg,https://images.openfoodfacts.org/images/products/505/100/713/0134/nutrition_pl.13.400.jpg,https://images.openfoodfacts.org/images/products/505/100/713/0134/nutrition_pl.13.200.jpg,NA,92,385,NA,2.9,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,12,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA,NA,3.2,NA,NA,NA,0.1,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,Dairies,Slovakia
5051007130127,https://world.openfoodfacts.org/product/5051007130127,pyrka,1590574725,1590578124,Jogurt jagodowy,NA,NA,150 g,"PP,Alu","pp,alu",NA,Tesco,tesco,"Nabiał, en:Fermented foods, en:Fermented milk products, Jogurty","en:dairies,en:fermented-foods,en:fermented-milk-products,en:yogurts",Czechy,en:czech-republic,NA,NA,NA,NA,cz709es,cz709es,NA,NA,NA,Tesco,"Polska,Słowacja,Czechy,Węgry",NA,NA,NA,NA,NA,150g,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,c,NA,Milk and dairy products,Milk and yogurt,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-to-be-completed, en:expiration-date-to-be-completed, en:packaging-code-completed, en:characteristics-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-validated, en:photos-uploaded",NA,NA,NA,en:yogurts,https://images.openfoodfacts.org/images/products/505/100/713/0127/front_pl.4.400.jpg,https://images.openfoodfacts.org/images/products/505/100/713/0127/front_pl.4.200.jpg,https://images.openfoodfacts.org/images/products/505/100/713/0127/front_pl.4.400.jpg,https://images.openfoodfacts.org/images/products/505/100/713/0127/front_pl.4.200.jpg,https://images.openfoodfacts.org/images/products/505/100/713/0127/ingredients_pl.11.400.jpg,https://images.openfoodfacts.org/images/products/505/100/713/0127/ingredients_pl.11.200.jpg,https://images.openfoodfacts.org/images/products/505/100/713/0127/nutrition_pl.14.400.jpg,https://images.openfoodfacts.org/images/products/505/100/713/0127/nutrition_pl.14.200.jpg,NA,90,377,NA,2.9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,12,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA,NA,3.1,NA,NA,NA,0.1,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,Dairies,Slovakia
4337185525469,https://world.openfoodfacts.org/product/4337185525469,andyp,1577780378,1631386177,Trvanlive Mlieko plnotucne,NA,NA,1l,NA,NA,NA,K Classic,k-classic,"en:Dairies, en:Milks, en:Homogenized milks, en:UHT Milks","en:dairies,en:milks,en:homogenized-milks,en:uht-milks",NA,NA,NA,NA,FSC,en:fsc,FSC-C014047,fsc-c014047,NA,NA,NA,NA,en:Slovakia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,b,NA,Milk and dairy products,Milk and yogurt,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-to-be-completed, en:expiration-date-to-be-completed, en:packaging-code-completed, en:characteristics-to-be-completed, en:origins-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-to-be-selected, en:ingredients-photo-to-be-selected, en:front-photo-to-be-selected, en:photos-uploaded",NA,NA,NA,en:uht-milks,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,272,NA,3.5,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.8,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3,NA,NA,NA,0.13,0.052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,Dairies,Slovakia
