code,url,creator,created_t,last_modified_t,product_name,abbreviated_product_name,generic_name,quantity,packaging,packaging_tags,packaging_text,brands,brands_tags,categories,categories_tags,origins,origins_tags,manufacturing_places,manufacturing_places_tags,labels,labels_tags,emb_codes,emb_codes_tags,cities,cities_tags,purchase_places,stores,countries,ingredients_text,allergens,allergens_tags,traces,traces_tags,serving_size,serving_quantity,no_nutriments,additives_n,additives_tags,ingredients_from_palm_oil_n,ingredients_from_palm_oil,ingredients_from_palm_oil_tags,ingredients_that_may_be_from_palm_oil_n,ingredients_that_may_be_from_palm_oil,ingredients_that_may_be_from_palm_oil_tags,nutriscore_score,nutriscore_grade,nova_group,pnns_groups_1,pnns_groups_2,states,brand_owner,ecoscore_score_fr,ecoscore_grade_fr,main_category,image_url,image_small_url,image_front_url,image_front_small_url,image_ingredients_url,image_ingredients_small_url,image_nutrition_url,image_nutrition_small_url,energy-kj_100g,energy-kcal_100g,energy_100g,energy-from-fat_100g,fat_100g,saturated-fat_100g,-butyric-acid_100g,-caproic-acid_100g,-caprylic-acid_100g,-capric-acid_100g,-lauric-acid_100g,-myristic-acid_100g,-palmitic-acid_100g,-stearic-acid_100g,-arachidic-acid_100g,-behenic-acid_100g,-lignoceric-acid_100g,-cerotic-acid_100g,-montanic-acid_100g,-melissic-acid_100g,monounsaturated-fat_100g,polyunsaturated-fat_100g,omega-3-fat_100g,-alpha-linolenic-acid_100g,-eicosapentaenoic-acid_100g,-docosahexaenoic-acid_100g,omega-6-fat_100g,-linoleic-acid_100g,-arachidonic-acid_100g,-gamma-linolenic-acid_100g,-dihomo-gamma-linolenic-acid_100g,omega-9-fat_100g,-oleic-acid_100g,-elaidic-acid_100g,-gondoic-acid_100g,-mead-acid_100g,-erucic-acid_100g,-nervonic-acid_100g,trans-fat_100g,cholesterol_100g,carbohydrates_100g,sugars_100g,-sucrose_100g,-glucose_100g,-fructose_100g,-lactose_100g,-maltose_100g,-maltodextrins_100g,starch_100g,polyols_100g,fiber_100g,-soluble-fiber_100g,-insoluble-fiber_100g,proteins_100g,casein_100g,serum-proteins_100g,nucleotides_100g,salt_100g,sodium_100g,alcohol_100g,vitamin-a_100g,beta-carotene_100g,vitamin-d_100g,vitamin-e_100g,vitamin-k_100g,vitamin-c_100g,vitamin-b1_100g,vitamin-b2_100g,vitamin-pp_100g,vitamin-b6_100g,vitamin-b9_100g,folates_100g,vitamin-b12_100g,biotin_100g,pantothenic-acid_100g,silica_100g,bicarbonate_100g,potassium_100g,chloride_100g,calcium_100g,phosphorus_100g,iron_100g,magnesium_100g,zinc_100g,copper_100g,manganese_100g,fluoride_100g,selenium_100g,chromium_100g,molybdenum_100g,iodine_100g,caffeine_100g,taurine_100g,ph_100g,fruits-vegetables-nuts_100g,fruits-vegetables-nuts-dried_100g,fruits-vegetables-nuts-estimate_100g,collagen-meat-protein-ratio_100g,cocoa_100g,chlorophyl_100g,carbon-footprint_100g,carbon-footprint-from-meat-or-fish_100g,nutrition-score-fr_100g,nutrition-score-uk_100g,glycemic-index_100g,water-hardness_100g,choline_100g,phylloquinone_100g,beta-glucan_100g,inositol_100g,carnitine_100g,search_category,search_country
8410014899514,https://world.openfoodfacts.org/product/8410014899514,kiliweb,1534268975,1632838224,Colacao complet,NA,Preparado alimenticio con crema de cereales,NA,NA,NA,NA,Cola cao,cola-cao,"en:Cocoa and its products, Cacaos y chocolates en polvo, Cacaos en polvo","en:cocoa-and-its-products,en:cocoa-and-chocolate-powders,en:cocoa-powders",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Francia,España",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,a,NA,unknown,unknown,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-to-be-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:origins-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-selected, en:ingredients-photo-to-be-selected, en:front-photo-selected, en:photos-uploaded",NA,NA,NA,en:cocoa-powders,https://images.openfoodfacts.org/images/products/841/001/489/9514/front_es.24.400.jpg,https://images.openfoodfacts.org/images/products/841/001/489/9514/front_es.24.200.jpg,https://images.openfoodfacts.org/images/products/841/001/489/9514/front_es.24.400.jpg,https://images.openfoodfacts.org/images/products/841/001/489/9514/front_es.24.200.jpg,NA,NA,https://images.openfoodfacts.org/images/products/841/001/489/9514/nutrition_es.26.400.jpg,https://images.openfoodfacts.org/images/products/841/001/489/9514/nutrition_es.26.200.jpg,291,73,291,NA,1.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.5,9,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,NA,3.6,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,Cocoa&and&its&products,Spain
5000312000700,https://world.openfoodfacts.org/product/5000312000700,kiliweb,1549984273,1632701605,Cadbury Cocoa Powder,NA,NA,NA,NA,NA,NA,Cadbury,cadbury,"Cacao et dérivés, Cacaos et chocolats en poudre, Cacaos en poudre","en:cocoa-and-its-products,en:cocoa-and-chocolate-powders,en:cocoa-powders",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Francia, Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,e,NA,unknown,unknown,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-to-be-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:origins-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-selected, en:ingredients-photo-selected, en:front-photo-selected, en:photos-uploaded",NA,NA,NA,en:cocoa-powders,https://images.openfoodfacts.org/images/products/500/031/200/0700/front_fr.27.400.jpg,https://images.openfoodfacts.org/images/products/500/031/200/0700/front_fr.27.200.jpg,https://images.openfoodfacts.org/images/products/500/031/200/0700/front_fr.27.400.jpg,https://images.openfoodfacts.org/images/products/500/031/200/0700/front_fr.27.200.jpg,https://images.openfoodfacts.org/images/products/500/031/200/0700/ingredients_fr.4.400.jpg,https://images.openfoodfacts.org/images/products/500/031/200/0700/ingredients_fr.4.200.jpg,https://images.openfoodfacts.org/images/products/500/031/200/0700/nutrition_fr.24.400.jpg,https://images.openfoodfacts.org/images/products/500/031/200/0700/nutrition_fr.24.200.jpg,NA,415,1736,NA,21.5,15.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,NA,1.3999999761581,0.55999999046324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,Cocoa&and&its&products,Spain
8410109115543,https://world.openfoodfacts.org/product/8410109115543,elcoco,1562607092,1632296977,NA,NA,NA,250 g,Bote aluminio,bote-aluminio,NA,Valor,valor,"Cacaos y chocolates en polvo, Cacaos en polvo","en:cocoa-and-its-products,en:cocoa-and-chocolate-powders,en:cocoa-powders",NA,NA,España,espana,Sin azúcares añadidos,en:no-added-sugar,NA,NA,NA,NA,España,ALCAMPO,"Spagna,en:spain","defatted cocoa powder,",NA,NA,NA,NA,7g,7,NA,0,NA,0,NA,NA,0,NA,NA,0,b,1,unknown,unknown,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:origins-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-to-be-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-to-be-selected, en:ingredients-photo-to-be-selected, en:front-photo-to-be-selected, en:photos-uploaded",NA,NA,NA,en:cocoa-powders,NA,NA,NA,NA,NA,NA,NA,NA,NA,339,1418,NA,11,6.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,1,NA,NA,NA,NA,NA,NA,NA,NA,34,NA,NA,25,NA,NA,NA,0.05,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,Cocoa&and&its&products,Spain
7593094001648,https://world.openfoodfacts.org/product/7593094001648,kiliweb,1588739060,1632070619,Cacao en polvo,NA,NA,NA,NA,NA,NA,KKO Real,kko-real,en:cocoa-powders,"en:cocoa-and-its-products,en:cocoa-and-chocolate-powders,en:cocoa-powders",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,España,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,a,NA,unknown,unknown,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-to-be-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:origins-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-selected, en:ingredients-photo-to-be-selected, en:front-photo-selected, en:photos-uploaded",NA,NA,NA,en:cocoa-powders,https://images.openfoodfacts.org/images/products/759/309/400/1648/front_es.14.400.jpg,https://images.openfoodfacts.org/images/products/759/309/400/1648/front_es.14.200.jpg,https://images.openfoodfacts.org/images/products/759/309/400/1648/front_es.14.400.jpg,https://images.openfoodfacts.org/images/products/759/309/400/1648/front_es.14.200.jpg,NA,NA,https://images.openfoodfacts.org/images/products/759/309/400/1648/nutrition_es.16.400.jpg,https://images.openfoodfacts.org/images/products/759/309/400/1648/nutrition_es.16.200.jpg,NA,390,1632,NA,11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,Cocoa&and&its&products,Spain
8413080008644,https://world.openfoodfacts.org/product/8413080008644,kiliweb,1578520528,1632070465,Soluble al cacao,NA,NA,NA,NA,NA,NA,Gourmet,gourmet,en:cocoa-powders,"en:cocoa-and-its-products,en:cocoa-and-chocolate-powders,en:cocoa-powders",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en:es,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,d,NA,unknown,unknown,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-to-be-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:origins-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-selected, en:ingredients-photo-selected, en:front-photo-selected, en:photos-uploaded",NA,NA,NA,en:cocoa-powders,https://images.openfoodfacts.org/images/products/841/308/000/8644/front_es.3.400.jpg,https://images.openfoodfacts.org/images/products/841/308/000/8644/front_es.3.200.jpg,https://images.openfoodfacts.org/images/products/841/308/000/8644/front_es.3.400.jpg,https://images.openfoodfacts.org/images/products/841/308/000/8644/front_es.3.200.jpg,https://images.openfoodfacts.org/images/products/841/308/000/8644/ingredients_es.8.400.jpg,https://images.openfoodfacts.org/images/products/841/308/000/8644/ingredients_es.8.200.jpg,https://images.openfoodfacts.org/images/products/841/308/000/8644/nutrition_es.5.400.jpg,https://images.openfoodfacts.org/images/products/841/308/000/8644/nutrition_es.5.200.jpg,NA,377,1577,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.7,NA,NA,NA,0.01,0.004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,Cocoa&and&its&products,Spain
8713576236255,https://world.openfoodfacts.org/product/8713576236255,elcoco,1560287062,1631471013,Nibs Cacao,NA,NA,NA,NA,NA,NA,NA,NA,"Cacaos y chocolates en polvo, Cacaos en polvo","en:cocoa-and-its-products,en:cocoa-and-chocolate-powders,en:cocoa-powders",NA,NA,NA,NA,"Ecológico,Vegetariano,Ecológico UE,Vegano,NL-BIO-01,Agricultura no UE","en:organic,en:vegetarian,en:eu-organic,en:non-eu-agriculture,en:vegan,en:nl-bio-01",NA,NA,NA,NA,NA,NA,España,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,d,NA,unknown,unknown,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-to-be-completed, en:expiration-date-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:origins-to-be-completed, en:categories-completed, en:brands-to-be-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-selected, en:ingredients-photo-selected, en:front-photo-selected, en:photos-uploaded",NA,NA,NA,en:cocoa-powders,https://images.openfoodfacts.org/images/products/871/357/623/6255/front_es.22.400.jpg,https://images.openfoodfacts.org/images/products/871/357/623/6255/front_es.22.200.jpg,https://images.openfoodfacts.org/images/products/871/357/623/6255/front_es.22.400.jpg,https://images.openfoodfacts.org/images/products/871/357/623/6255/front_es.22.200.jpg,https://images.openfoodfacts.org/images/products/871/357/623/6255/ingredients_es.4.400.jpg,https://images.openfoodfacts.org/images/products/871/357/623/6255/ingredients_es.4.200.jpg,https://images.openfoodfacts.org/images/products/871/357/623/6255/nutrition_es.24.400.jpg,https://images.openfoodfacts.org/images/products/871/357/623/6255/nutrition_es.24.200.jpg,NA,610,2552,NA,55,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.8,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,0.1,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,Cocoa&and&its&products,Spain
8410014465504,https://world.openfoodfacts.org/product/8410014465504,kiliweb,1562929187,1631396640,Cola Cao Original,NA,NA,390 g,NA,NA,NA,Cola Cao,cola-cao,"Cacaos y chocolates en polvo, Cacaos en polvo","en:cocoa-and-its-products,en:cocoa-and-chocolate-powders,en:cocoa-powders",NA,NA,NA,NA,"Sustainable farming, UTZ Certified , en:green-dot","en:sustainable-farming,en:green-dot,en:utz-certified",NA,NA,NA,NA,España,Ahorramás,"España, en:morocco","azúcar de caña, cacao desgrasado natural 22%, crema de cereal kola-malteado (harina de _trigo_, extracto de malta de _cebada_, aroma natural: extracto de nuez de cola), sales minerales (calcio, fósforo), aromas, sal",en:gluten,en:gluten,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,4,unknown,unknown,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:origins-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-selected, en:ingredients-photo-selected, en:front-photo-selected, en:photos-uploaded",NA,NA,NA,en:cocoa-powders,https://images.openfoodfacts.org/images/products/841/001/446/5504/front_es.3.400.jpg,https://images.openfoodfacts.org/images/products/841/001/446/5504/front_es.3.200.jpg,https://images.openfoodfacts.org/images/products/841/001/446/5504/front_es.3.400.jpg,https://images.openfoodfacts.org/images/products/841/001/446/5504/front_es.3.200.jpg,https://images.openfoodfacts.org/images/products/841/001/446/5504/ingredients_es.12.400.jpg,https://images.openfoodfacts.org/images/products/841/001/446/5504/ingredients_es.12.200.jpg,https://images.openfoodfacts.org/images/products/841/001/446/5504/nutrition_es.18.400.jpg,https://images.openfoodfacts.org/images/products/841/001/446/5504/nutrition_es.18.200.jpg,NA,68,285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cocoa&and&its&products,Spain
8410342000606,https://world.openfoodfacts.org/product/8410342000606,kiliweb,1570972788,1631372475,Cacao puro en polvo,NA,NA,NA,NA,NA,NA,Torras,torras,Cacaos en polvo,"en:cocoa-and-its-products,en:cocoa-and-chocolate-powders,en:cocoa-powders",NA,NA,NA,NA,en:gluten-free,en:no-gluten,NA,NA,NA,NA,NA,NA,España,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,c,NA,unknown,unknown,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-to-be-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:origins-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-selected, en:ingredients-photo-to-be-selected, en:front-photo-selected, en:photos-uploaded",NA,NA,NA,en:cocoa-powders,https://images.openfoodfacts.org/images/products/841/034/200/0606/front_es.8.400.jpg,https://images.openfoodfacts.org/images/products/841/034/200/0606/front_es.8.200.jpg,https://images.openfoodfacts.org/images/products/841/034/200/0606/front_es.8.400.jpg,https://images.openfoodfacts.org/images/products/841/034/200/0606/front_es.8.200.jpg,NA,NA,https://images.openfoodfacts.org/images/products/841/034/200/0606/nutrition_es.5.400.jpg,https://images.openfoodfacts.org/images/products/841/034/200/0606/nutrition_es.5.200.jpg,NA,213,891,NA,11,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,NA,0.1,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,Cocoa&and&its&products,Spain
8480013150015,https://world.openfoodfacts.org/product/8480013150015,kiliweb,1589211962,1630603524,Cacao en polvo,NA,NA,900 g,NA,NA,NA,Spar,spar,"Cacaos y chocolates en polvo, Cacaos en polvo","en:cocoa-and-its-products,en:cocoa-and-chocolate-powders,en:cocoa-powders",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Spar,España,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,d,NA,unknown,unknown,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-to-be-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:origins-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-selected, en:ingredients-photo-to-be-selected, en:front-photo-selected, en:photos-uploaded",NA,NA,NA,en:cocoa-powders,https://images.openfoodfacts.org/images/products/848/001/315/0015/front_es.3.400.jpg,https://images.openfoodfacts.org/images/products/848/001/315/0015/front_es.3.200.jpg,https://images.openfoodfacts.org/images/products/848/001/315/0015/front_es.3.400.jpg,https://images.openfoodfacts.org/images/products/848/001/315/0015/front_es.3.200.jpg,NA,NA,https://images.openfoodfacts.org/images/products/848/001/315/0015/nutrition_es.5.400.jpg,https://images.openfoodfacts.org/images/products/848/001/315/0015/nutrition_es.5.200.jpg,NA,68,285,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.7,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,Cocoa&and&its&products,Spain
8480013154013,https://world.openfoodfacts.org/product/8480013154013,kiliweb,1593269175,1630603507,Cacao a la taza,NA,NA,NA,NA,NA,NA,Spar,spar,en:cocoa-powders,"en:cocoa-and-its-products,en:cocoa-and-chocolate-powders,en:cocoa-powders",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Spar,en:es,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,unknown,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-to-be-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:origins-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-selected, en:ingredients-photo-to-be-selected, en:front-photo-selected, en:photos-uploaded",NA,NA,NA,en:cocoa-powders,https://images.openfoodfacts.org/images/products/848/001/315/4013/front_es.3.400.jpg,https://images.openfoodfacts.org/images/products/848/001/315/4013/front_es.3.200.jpg,https://images.openfoodfacts.org/images/products/848/001/315/4013/front_es.3.400.jpg,https://images.openfoodfacts.org/images/products/848/001/315/4013/front_es.3.200.jpg,NA,NA,https://images.openfoodfacts.org/images/products/848/001/315/4013/nutrition_es.5.400.jpg,https://images.openfoodfacts.org/images/products/848/001/315/4013/nutrition_es.5.200.jpg,NA,364,1523,NA,2.5,1.6000000238419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.599998474121,62.700000762939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.1999998092651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cocoa&and&its&products,Spain
