code,url,creator,created_t,last_modified_t,product_name,abbreviated_product_name,generic_name,quantity,packaging,packaging_tags,packaging_text,brands,brands_tags,categories,categories_tags,origins,origins_tags,manufacturing_places,manufacturing_places_tags,labels,labels_tags,emb_codes,emb_codes_tags,cities,cities_tags,purchase_places,stores,countries,ingredients_text,allergens,allergens_tags,traces,traces_tags,serving_size,serving_quantity,no_nutriments,additives_n,additives_tags,ingredients_from_palm_oil_n,ingredients_from_palm_oil,ingredients_from_palm_oil_tags,ingredients_that_may_be_from_palm_oil_n,ingredients_that_may_be_from_palm_oil,ingredients_that_may_be_from_palm_oil_tags,nutriscore_score,nutriscore_grade,nova_group,pnns_groups_1,pnns_groups_2,states,brand_owner,ecoscore_score_fr,ecoscore_grade_fr,main_category,image_url,image_small_url,image_front_url,image_front_small_url,image_ingredients_url,image_ingredients_small_url,image_nutrition_url,image_nutrition_small_url,energy-kj_100g,energy-kcal_100g,energy_100g,energy-from-fat_100g,fat_100g,saturated-fat_100g,-butyric-acid_100g,-caproic-acid_100g,-caprylic-acid_100g,-capric-acid_100g,-lauric-acid_100g,-myristic-acid_100g,-palmitic-acid_100g,-stearic-acid_100g,-arachidic-acid_100g,-behenic-acid_100g,-lignoceric-acid_100g,-cerotic-acid_100g,-montanic-acid_100g,-melissic-acid_100g,monounsaturated-fat_100g,polyunsaturated-fat_100g,omega-3-fat_100g,-alpha-linolenic-acid_100g,-eicosapentaenoic-acid_100g,-docosahexaenoic-acid_100g,omega-6-fat_100g,-linoleic-acid_100g,-arachidonic-acid_100g,-gamma-linolenic-acid_100g,-dihomo-gamma-linolenic-acid_100g,omega-9-fat_100g,-oleic-acid_100g,-elaidic-acid_100g,-gondoic-acid_100g,-mead-acid_100g,-erucic-acid_100g,-nervonic-acid_100g,trans-fat_100g,cholesterol_100g,carbohydrates_100g,sugars_100g,-sucrose_100g,-glucose_100g,-fructose_100g,-lactose_100g,-maltose_100g,-maltodextrins_100g,starch_100g,polyols_100g,fiber_100g,-soluble-fiber_100g,-insoluble-fiber_100g,proteins_100g,casein_100g,serum-proteins_100g,nucleotides_100g,salt_100g,sodium_100g,alcohol_100g,vitamin-a_100g,beta-carotene_100g,vitamin-d_100g,vitamin-e_100g,vitamin-k_100g,vitamin-c_100g,vitamin-b1_100g,vitamin-b2_100g,vitamin-pp_100g,vitamin-b6_100g,vitamin-b9_100g,folates_100g,vitamin-b12_100g,biotin_100g,pantothenic-acid_100g,silica_100g,bicarbonate_100g,potassium_100g,chloride_100g,calcium_100g,phosphorus_100g,iron_100g,magnesium_100g,zinc_100g,copper_100g,manganese_100g,fluoride_100g,selenium_100g,chromium_100g,molybdenum_100g,iodine_100g,caffeine_100g,taurine_100g,ph_100g,fruits-vegetables-nuts_100g,fruits-vegetables-nuts-dried_100g,fruits-vegetables-nuts-estimate_100g,collagen-meat-protein-ratio_100g,cocoa_100g,chlorophyl_100g,carbon-footprint_100g,carbon-footprint-from-meat-or-fish_100g,nutrition-score-fr_100g,nutrition-score-uk_100g,glycemic-index_100g,water-hardness_100g,choline_100g,phylloquinone_100g,beta-glucan_100g,inositol_100g,carnitine_100g,search_category,search_country
3036810201280,https://world.openfoodfacts.org/product/3036810201280,openfoodfacts-contributors,1415014704,1630438790,NA,NA,NA,200ml,"Glas,70 GL,40 FE,Glas/Gläser","glas,70-gl,40-fe,glas-glaser",NA,Maille,maille,"en:Groceries,en:Condiments,en:Sauces,en:Mustards,en:Dijon mustards","en:groceries,en:condiments,en:sauces,en:mustards,en:dijon-mustards",en:Unspecified,en:unspecified,Frankreich,frankreich,NA,NA,NA,NA,NA,NA,"Deutschland,Espanya","Woolworths,REWE,HIT,Coles,BonPreu","Australija,Belgija,Hrvatska,Francuska,Njemačka,Italija,Nizozemska,Portugal,Rumunjska,Španjolska,Švedska,Švicarska","water, mustard grains, brandy vinegar, salt, acidifier: citric acid, preservative: potassium metabisulphite ,","en:mustard,de:Kaliummetabisulfit","en:mustard,de:kaliummetabisulfit",NA,NA,10g,10,NA,2,"en:e224,en:e330",0,NA,NA,0,NA,NA,11,d,3,Fat and sauces,Dressings and sauces,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:origins-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-to-be-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-to-be-selected, en:ingredients-photo-to-be-selected, en:front-photo-selected, en:photos-uploaded",NA,NA,NA,en:dijon-mustards,https://images.openfoodfacts.org/images/products/303/681/020/1280/front.3.400.jpg,https://images.openfoodfacts.org/images/products/303/681/020/1280/front.3.200.jpg,https://images.openfoodfacts.org/images/products/303/681/020/1280/front.3.400.jpg,https://images.openfoodfacts.org/images/products/303/681/020/1280/front.3.200.jpg,NA,NA,NA,NA,620,150,620,NA,11,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,5.7,2.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,Condiments,Sweden
0200030008445,https://world.openfoodfacts.org/product/0200030008445,karbonado,1610522347,1610530860,Cynamon,NA,NA,60 g,Plastik,plastik,NA,Flying Tiger Copenhagen,flying-tiger-copenhagen,"en:Groceries, Przyprawy","en:groceries,en:condiments",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Flying Tiger Copenhagen,"Polska,Rumunia,Czechy,Norwegia,Dania,Litwa,Łotwa,Estonia,Szwecja,Finlandia,Słowacja",Cynamon kasja.,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,unknown,unknown,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:origins-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:ingredients-photo-selected, en:front-photo-selected, en:photos-uploaded",NA,NA,NA,en:condiments,https://images.openfoodfacts.org/images/products/020/003/000/8445/front_pl.4.400.jpg,https://images.openfoodfacts.org/images/products/020/003/000/8445/front_pl.4.200.jpg,https://images.openfoodfacts.org/images/products/020/003/000/8445/front_pl.4.400.jpg,https://images.openfoodfacts.org/images/products/020/003/000/8445/front_pl.4.200.jpg,https://images.openfoodfacts.org/images/products/020/003/000/8445/ingredients_pl.9.400.jpg,https://images.openfoodfacts.org/images/products/020/003/000/8445/ingredients_pl.9.200.jpg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Condiments,Sweden
7340175300226,https://world.openfoodfacts.org/product/7340175300226,fringillus,1609018685,1609018871,Julsenap med Calvados & äpple,NA,NA,200 g,glas,glas,NA,Deli verkstan,deli-verkstan,"Skafferi, en:Condiments, Såser, Senap","en:groceries,en:condiments,en:sauces,en:mustards",NA,NA,Värmdö,varmdo,NA,NA,NA,NA,NA,NA,Sverige,Deli verkstan,Sverige,"Vatten, senapfrö, ättika, honung. ekologiskt havssalt, calvados, ingefära, kanel, koriander. gurkmeja, koncentrerad ekologisk äppeljuice, vitlökspulver, citronsyra(E330)",NA,NA,NA,NA,NA,NA,NA,1,en:e330,0,NA,NA,0,NA,NA,NA,NA,3,Fat and sauces,Dressings and sauces,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:ingredients-photo-selected, en:front-photo-selected, en:photos-uploaded",NA,NA,NA,en:mustards,https://images.openfoodfacts.org/images/products/734/017/530/0226/front_sv.4.400.jpg,https://images.openfoodfacts.org/images/products/734/017/530/0226/front_sv.4.200.jpg,https://images.openfoodfacts.org/images/products/734/017/530/0226/front_sv.4.400.jpg,https://images.openfoodfacts.org/images/products/734/017/530/0226/front_sv.4.200.jpg,https://images.openfoodfacts.org/images/products/734/017/530/0226/ingredients_sv.7.400.jpg,https://images.openfoodfacts.org/images/products/734/017/530/0226/ingredients_sv.7.200.jpg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Condiments,Sweden
20046842,https://world.openfoodfacts.org/product/20046842,kiliweb,1564317682,1608072765,Zeezout sel de mer,NA,NA,90 g,"glass,plastik","glass,plastik",NA,Kania,kania,"Epicerie, Condiments, Sels, Sels marins","en:groceries,en:condiments,en:salts,en:sea-salts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sweden,Lidl,"Belgium,Sweden",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,unknown,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-to-be-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:ingredients-photo-selected, en:front-photo-selected, en:photos-uploaded",NA,NA,NA,en:sea-salts,https://images.openfoodfacts.org/images/products/20046842/front_fr.3.400.jpg,https://images.openfoodfacts.org/images/products/20046842/front_fr.3.200.jpg,https://images.openfoodfacts.org/images/products/20046842/front_fr.3.400.jpg,https://images.openfoodfacts.org/images/products/20046842/front_fr.3.200.jpg,https://images.openfoodfacts.org/images/products/20046842/ingredients_fr.12.400.jpg,https://images.openfoodfacts.org/images/products/20046842/ingredients_fr.12.200.jpg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Condiments,Sweden
20148706,https://world.openfoodfacts.org/product/20148706,elcoco,1568630312,1607614060,Mcennedy Thousand Island Salad Dressing,NA,Salladsdressing med paprika och gurkbitar,300 ml,"70 GL,Metal","70-gl,metal",NA,Mcennedy,mcennedy,"Skafferi, en:Condiments, Såser, en:Salad dressings, en:Seasonings, en:Thousand island dressing","en:groceries,en:condiments,en:sauces,en:salad-dressings,en:seasonings,en:thousand-island-dressing",NA,NA,Tyskland,tyskland,NA,NA,NA,NA,NA,NA,Sverige,Lidl,"España,Suecia","Vatten, rapsolja, tomatpuré, glukos-fruktossirap, ättiksprit, socker, lök, citronjuice från koncentrat, gurka 2 %, röd paprika 1,8 %, salt, modifierad stärkelse, _vasslepulver_ (av _mjölk_), _äggula_, örtkryddor, _senapsfrön_, kryddor, naturlig arom, förtjockningsmedel (xantangummi).","en:eggs,en:milk,sv:senapsfrön","en:eggs,en:milk,sv:senapsfrön",NA,NA,NA,NA,NA,2,"en:e14xx,en:e415",0,NA,NA,0,NA,NA,13,d,4,Fat and sauces,Dressings and sauces,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-completed, en:packaging-code-to-be-completed, en:characteristics-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-selected, en:ingredients-photo-selected, en:front-photo-selected, en:photos-uploaded",NA,NA,NA,en:thousand-island-dressing,https://images.openfoodfacts.org/images/products/20148706/front_sv.13.400.jpg,https://images.openfoodfacts.org/images/products/20148706/front_sv.13.200.jpg,https://images.openfoodfacts.org/images/products/20148706/front_sv.13.400.jpg,https://images.openfoodfacts.org/images/products/20148706/front_sv.13.200.jpg,https://images.openfoodfacts.org/images/products/20148706/ingredients_sv.14.400.jpg,https://images.openfoodfacts.org/images/products/20148706/ingredients_sv.14.200.jpg,https://images.openfoodfacts.org/images/products/20148706/nutrition_sv.16.400.jpg,https://images.openfoodfacts.org/images/products/20148706/nutrition_sv.16.200.jpg,1067,258,1067,NA,22,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1.8,0.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,Condiments,Sweden
7311631575007,https://world.openfoodfacts.org/product/7311631575007,dahlqvist,1594186683,1616530944,Finkornigt Salt Himalaya,NA,NA,500 g,Plast,plast,NA,Falksalt,falksalt,"Skafferi, en:Condiments, Salter, en:Himalaya salts","en:groceries,en:condiments,en:salts,en:himalaya-salts",NA,NA,NA,NA,Utan Jod,sv:utan-jod,NA,NA,NA,NA,NA,NA,Sverige,Salt (NaCl).,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,2,unknown,unknown,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:origins-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-selected, en:ingredients-photo-selected, en:front-photo-selected, en:photos-uploaded",NA,NA,NA,en:himalaya-salts,https://images.openfoodfacts.org/images/products/731/163/157/5007/front_sv.4.400.jpg,https://images.openfoodfacts.org/images/products/731/163/157/5007/front_sv.4.200.jpg,https://images.openfoodfacts.org/images/products/731/163/157/5007/front_sv.4.400.jpg,https://images.openfoodfacts.org/images/products/731/163/157/5007/front_sv.4.200.jpg,https://images.openfoodfacts.org/images/products/731/163/157/5007/ingredients_sv.12.400.jpg,https://images.openfoodfacts.org/images/products/731/163/157/5007/ingredients_sv.12.200.jpg,https://images.openfoodfacts.org/images/products/731/163/157/5007/nutrition_sv.8.400.jpg,https://images.openfoodfacts.org/images/products/731/163/157/5007/nutrition_sv.8.200.jpg,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,98,39.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Condiments,Sweden
6418622001062,https://world.openfoodfacts.org/product/6418622001062,dahlqvist,1599673087,1599746529,Marinerad Rödlök,NA,NA,500 g,NA,NA,NA,"Satomestarit,Satomestarit Oy","satomestarit,satomestarit-oy","Växtbaserad mat och dryck, Växtbaserad mat, Skafferi, en:Condiments, en:Fruits and vegetables based foods, en:Culinary plants, en:Vegetables based foods, en:Onions and their products, Lök, en:Red onions","en:plant-based-foods-and-beverages,en:plant-based-foods,en:groceries,en:condiments,en:fruits-and-vegetables-based-foods,en:culinary-plants,en:vegetables-based-foods,en:onions-and-their-products,en:onions,en:red-onions",NA,NA,"Vantaa,Finland","vantaa,finland",NA,NA,NA,NA,NA,NA,NA,NA,"Ahvenanmaan maakunta,Suomi,Ruotsi","inhemsk rödlök, vatten, rypsolja, ättika, socker, salt 0.8%",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,3,Fruits and vegetables,Vegetables,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-completed, en:product-name-completed, en:photos-validated, en:photos-uploaded",NA,NA,NA,en:red-onions,https://images.openfoodfacts.org/images/products/641/862/200/1062/front_sv.24.400.jpg,https://images.openfoodfacts.org/images/products/641/862/200/1062/front_sv.24.200.jpg,https://images.openfoodfacts.org/images/products/641/862/200/1062/front_sv.24.400.jpg,https://images.openfoodfacts.org/images/products/641/862/200/1062/front_sv.24.200.jpg,https://images.openfoodfacts.org/images/products/641/862/200/1062/ingredients_sv.27.400.jpg,https://images.openfoodfacts.org/images/products/641/862/200/1062/ingredients_sv.27.200.jpg,https://images.openfoodfacts.org/images/products/641/862/200/1062/nutrition_sv.28.400.jpg,https://images.openfoodfacts.org/images/products/641/862/200/1062/nutrition_sv.28.200.jpg,414,99,414,NA,8.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Condiments,Sweden
87158021,https://world.openfoodfacts.org/product/87158021,openfoodfacts-contributors,1530997476,1599384537,Salt med Jod - Extra Fint,NA,NA,125 g,"Plast,Plastic","plast,plastic",NA,Jozo,jozo,"Skafferi, en:Condiments, Salter, en:Table salts, en:Salter, en:Skafferi","en:groceries,en:condiments,en:salts,en:table-salts,en:salter,en:skafferi","Netherlands,The Netherlands,Nederländerna",en:netherlands,"The Netherlands,Netherlands,Nederländerna","the-netherlands,netherlands,nederlanderna",NA,NA,NA,NA,NA,NA,NA,NA,Sverige,"Salt (NaCI), jod 0.005%, klumpförebyggande medel (E535).",NA,NA,NA,NA,NA,NA,NA,1,en:e535,0,NA,NA,0,NA,NA,NA,NA,2,unknown,unknown,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:photos-uploaded",NA,NA,NA,en:skafferi,https://images.openfoodfacts.org/images/products/87158021/front_en.7.400.jpg,https://images.openfoodfacts.org/images/products/87158021/front_en.7.200.jpg,https://images.openfoodfacts.org/images/products/87158021/front_en.7.400.jpg,https://images.openfoodfacts.org/images/products/87158021/front_en.7.200.jpg,https://images.openfoodfacts.org/images/products/87158021/ingredients_sv.15.400.jpg,https://images.openfoodfacts.org/images/products/87158021/ingredients_sv.15.200.jpg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.995,39.998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Condiments,Sweden
20046804,https://world.openfoodfacts.org/product/20046804,openfoodfacts-contributors,1536574218,1598527088,Poivre noir,NA,NA,35 g,"Glass,plastik","glass,plastik",NA,Kania,kania,"Plant-based foods and beverages, Plant-based foods, Groceries, Condiments, Spices, Peppers, Peppercorns, Black peppers, Black peppercorns","en:plant-based-foods-and-beverages,en:plant-based-foods,en:groceries,en:condiments,en:spices,en:peppers,en:peppercorns,en:black-peppers,en:black-peppercorns",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sweden,Lidl,"Bélgica,España,Suecia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,unknown,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-to-be-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:photos-uploaded",NA,NA,NA,en:black-peppercorns,https://images.openfoodfacts.org/images/products/20046804/front_en.18.400.jpg,https://images.openfoodfacts.org/images/products/20046804/front_en.18.200.jpg,https://images.openfoodfacts.org/images/products/20046804/front_en.18.400.jpg,https://images.openfoodfacts.org/images/products/20046804/front_en.18.200.jpg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Condiments,Sweden
5430000504041,https://world.openfoodfacts.org/product/5430000504041,openfoodfacts-contributors,1517770983,1612619760,Moutarde,NA,NA,1,pot,pot,NA,BRUSSELS KETJEP,brussels-ketjep,"Groceries, Condiments, Sauces, Mustards","en:groceries,en:condiments,en:sauces,en:mustards",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Suède, en:be",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,d,NA,Fat and sauces,Dressings and sauces,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-to-be-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:origins-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-selected, en:ingredients-photo-selected, en:front-photo-selected, en:photos-uploaded",NA,NA,NA,en:mustards,https://images.openfoodfacts.org/images/products/543/000/050/4041/front_en.6.400.jpg,https://images.openfoodfacts.org/images/products/543/000/050/4041/front_en.6.200.jpg,https://images.openfoodfacts.org/images/products/543/000/050/4041/front_en.6.400.jpg,https://images.openfoodfacts.org/images/products/543/000/050/4041/front_en.6.200.jpg,https://images.openfoodfacts.org/images/products/543/000/050/4041/ingredients_en.10.400.jpg,https://images.openfoodfacts.org/images/products/543/000/050/4041/ingredients_en.10.200.jpg,https://images.openfoodfacts.org/images/products/543/000/050/4041/nutrition_en.15.400.jpg,https://images.openfoodfacts.org/images/products/543/000/050/4041/nutrition_en.15.200.jpg,NA,110,460,NA,8.5,0.60000002384186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2999999523163,1.8999999761581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.1999998092651,NA,NA,NA,3.2999999523163,1.31999998092652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,Condiments,Sweden
